༄༅ དཀོན་ མཆོག་ གསུམ་ ལ་ ཕྱག་ འཚལ་ ལོ 83
པའི་ རིགས་ ཀྱི་ བུ་ དང་ རིགས་ ཀྱི་ བུ་ 152
པའི་ རིགས་ ཀྱི་ བུ་ འམ །_ རིགས་ ཀྱི་ 67
པའི་ རིགས་ ཀྱི་ བུ་ འམ་ རིགས་ ཀྱི་ བུ་ 167
པའི་ རིགས་ ཀྱི་ བུའམ །_ རིགས་ ཀྱི་ བུ་ 191
པའི་ རིགས་ ཀྱི་ བུའམ་ རིགས་ ཀྱི་ བུ་ མོ་ 102
པའི་ སྒོ་ སྟོང་ པ་ ཉིད་ དང་ །_ མཚན་ 1275
པའི་ སྒོ་ སྟོང་ པ་ ཉིད་ དང་ མཚན་ མ་ 181
པའི་ ཉེར་ བསྡོགས་ ལས་ འགལ་ ཚབས་ ཅན་ དུ་ 50
པའི་ ལྷ་ དང་ །_ ཀླུ་ དང་ །_ གནོད་ 49
པའི་ ལྷ་ རྣམས་ ཀྱིས་ མཆོད་ ཅིང་ རྗེད་ པ་ 86
པའི་ ལྷ་ ང་ ས་ ལ་ བཙུགས་ ཏེ །_ 296
པའི་ ལྷ་ ང་ ས་ ལ་ བཙུགས་ ནས །_ 62
པའི་ འདམ་ དུ་ བྱིང་ བ་ ལས་ ལག་ ནས་ 46
པའི་ དཔལ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། དེ་ 78
པའི་ ཕུང་ པོ་ དང་ །_ ཁམས་ དང་ །_ 75
པའི་ སྟོང་ པ་ ཉིད་ གང་ ཡིན་ པ་ དེ་ 47
པའི་ སྟོང་ པ་ ཉིད་ གང་ ལགས་ པ་ དེ་ 42
པའི་ སྐུ་ བལྟ་ བས་ ཆོག་ མི་ ཤེས་ པ་ 43
པའི་ གཟུགས་ བརྙན་ ལ་ སྤྱོད་ པར་ འགྱུར་ རོ 105
པའི་ གཟུགས་ བརྙན་ མྱི་ སྟོན་ ཏོ །_། ཀཽ་ 90
པའི་ ཁམས་ དང་ །_ གཟུགས་ ཀྱི་ ཁམས་ དང་ 285
པའི་ ཁམས་ ཀྱི་ ཁོངས་ སུ་ ཆུད་ པ་ མ་ 245
པའི་ ཁམས་ ཤེས་ པ་ ཀུན་ འབྱུང་ བ་ ཤེས་ 69
པའི་ ཁམས་ ཤེས་ པ་ འགོག་ པ་ ཤེས་ པ་ 60
པའི་ ཁམས་ ཤེས་ པ་ འགོག་ པར་ འགྱུར་ བའི་ 45
པའི་ མཐིལ་ དུ་ མི་ སྣང་ བར་ འགྱུར་ རོ 57
པའི་ ཚོར་ བ་ དང་ །_ འདུ་ ཤེས་ དང་ 42
པའི་ བསམ་ གཏན་ གང་ ཡིན་ པ་ དེ་ ནི་ 40
པའི་ བསམ་ གཏན་ གྱི་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ 97
པའི་ ཏིང་ ངེ་ འཛིན་ ལ་ སྙོམས་ པར་ འཇུག་ 47
པའི་ ཏིང་ ངེ་ འཛིན་ ལ་ སྙོམས་ པར་ ཞུགས་ 101
པའི་ རྡོ་ རྗེ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ 85
པའི་ ངང་ ཚུལ་ ཅན་ ཏེ །_ དེ་ དག་ 77
པའི་ རྡུལ་ དག་ ཇི་ སྙེད་ པ་ དེ་ སྙེད་ 48
པའི་ རྡུལ་ ཤིན་ ཏུ་ ཕྲ་ བ་ སྙེད་ ཀྱི་ 63
པའི་ དབྱིངས་ སུ་ ཡོངས་ སུ་ མྱ་ ངན་ ལས་ 226
པའི་ དབྱིངས་ དེ་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 107
པའི་ དབྱངས་ ཀྱིས་ ཞུ་ བ་ ཞུས་ པ །_ 40
པའི་ ཚེ །_ ཆོས་ ཐམས་ ཅད་ མཚན་ མ་ 45
པའི་ ཚེ །_ རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ 1015
པའི་ ཚེ །_ ཐབས་ མི་ མཁས་ པས །_ 112
པའི་ ཚེ །_ ཐབས་ མྱི་ མཁས་ པས་ བདག་ 90
པའི་ ཚེ །_ ཐབས་ མྱི་ མཁས་ པས །_ 103
པའི་ ཚེ །_ ཡང་ དག་ པ་ ཇི་ ལྟ་ 117
པའི་ ཚེ །_ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 49
པའི་ ཚེ །_ ནམ་ རྣམ་ པ་ ཐམས་ ཅད་ 50
པའི་ ཚེ །_ ངོ་ བོ་ ཉིད་ ཀྱིས་ སྟོང་ 44
པའི་ ཚེ །_ ནེམ་ ནུར་ དུ་ འགྱུར །_ 57
པའི་ ཚེ །_ མྱི་ དམྱིགས་ པའི་ ཚུལ་ གྱིས 45
པའི་ མྱིང་ ཡང་ ཡང་ དག་ པར་ རྗེས་ སུ་ 40
པའི་ མྱིང་ དེ་ ཡང་ གནས་ པ་ མ་ མཆིས་ 52
མདོ །_ བམ་ པོ་ དང་ པོ །_ སངས་ 50
མདོ །_ སངས་ རྒྱས་ དང་ བྱང་ ཆུབ་ སེམས་ 128
བམ་ པའི་ བསམ་ གཏན་ དག་ ལ་ སྙོམས་ པར་ 48
བམ་ པོ་ དང་ པོ །_ སངས་ རྒྱས་ དང་ 72
པོ་ དང་ །_ སངས་ རྒྱས་ ཀྱི་ ཆོས་ མ་ 342
པོ་ དང་ །_ སྙིང་ རྗེ་ ཆེན་ པོ་ དང་ 377
པོ་ དང་ །_ རྣམ་ པར་ གྲོལ་ བའི་ ཕུང་ 56
པོ་ དང་ །_ རྣམ་ པར་ གྲོལ་ བའི་ ཡེ་ 55
པོ་ དང་ །_ ཡི་ དགས་ དང་ །_ ཤ་ 53
པོ་ དང་ །_ མི་ དང་ །_ མི་ མ་ 84
པོ་ དང་ །_ མི་ དང་ མི་ མ་ ཡིན་ 126
པོ་ དང་ །_ བརྩོན་ འགྲུས་ ཀྱི་ དབང་ པོ་ 41
པོ་ དང་ །_ ཤེས་ རབ་ ཀྱི་ ཕུང་ པོ་ 57
པོ་ དང་ །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ 198
པོ་ དང་ །_ བརྒྱ་ བྱིན་ དང་ །_ ཚངས་ 40
པོ་ དང་ །_ དགའ་ བ་ ཆེན་ པོ་ དང་ 78
པོ་ དང་ །_ སྟོབས་ དང་ །_ བྱང་ ཆུབ་ 208
པོ་ དང་ །_ ཚ་ བ་ དང་ །_ རབ་ 46
པོ་ དང་ །_ དམར་ པོ་ དང་ །_ དཀར་ 175
པོ་ དང་ །_ ཁམས་ དང་ །_ སྐྱེ་ མཆེད་ 272
པོ་ དང་ །_ ཚོར་ བ་ པོ་ དང་ །_ 42
པོ་ དང་ །_ ཏིང་ ངེ་ འཛིན་ གྱི་ ཕུང་ 45
པོ་ དང་ །_ སེར་ པོ་ དང་ །_ དམར་ 183
པོ་ དང་ པོ །_ སངས་ རྒྱས་ དང་ བྱང་ 63
པོ་ དང་ ཐབས་ ཅིག་ ཏུ་ བཞུགས་ སོ །_། 41
པོ་ དང་ ཐབས་ ཅིག་ ཏུ་ བཞུགས་ ཏེ །_ 88
པོ་ དང་ ལྡན་ པ །_ ན་ བཟའ་ དང་ 95
པོ་ དང་ ཉེ་ དབང་ དང་ བཅས་ པའི་ ལྷ་ 92
པོ་ དང་ རྫས་ དང་ མཚན་ མར་ ཡང་ དག་ 44
པོ་ ཐམས་ ཅད་ ཀྱི་ རྟེན་ ཡིན་ ཏེ །_ 46
པོ་ པ་ དང་ །_ སྨྱོས་ པ་ དང་ །_ 134
པོ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། སངས་ རྒྱས་ 70
པོ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། དེ་ བཞིན་ 639
པོ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། བཅོམ་ ལྡན་ 46
པོ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། བྱང་ ཆུབ་ 101
པོ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། ཏདྱ་ ཐཱ 57
པོ་ ལ་ འདི་ སྐད་ ཅེས་ གསོལ་ ཏོ །_། 68
པོ་ ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། 227
པོ་ ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ 205
པོ་ ལ་ ནི་ ཉན་ ཐོས་ དུང་ ཕྱུར་ ཕྲག་ 40
པོ་ ལ་ སྨན་ པ་ དང་ །_ སྐྱེ་ བོ་ 56
པོ་ ལ་ ཡང་ དག་ པར་ ཞུགས་ པའི་ བྱང་ 48
པོ་ ལ་ བདེ་ བ་ དང་ །_ འཇིག་ རྟེན་ 119
པོ་ ལ་ གཏོགས་ པ་ བྲམ་ ཟེ་ དབྱར་ བྱེད་ 41
པོ་ ལ་ ཉེ་ བར་ བསྒྲུབས་ ཏེ་ གནས་ སོ 41
པོ་ ལ་ ཡིད་ གཉིས་ ཟ་ བས་ གཅོད་ དམ 50
པོ་ ལ་ སྔོན་ པོར་ འདུ་ ཤེས་ པས་ གཅོད་ 49
པོ་ ལ་ ཕན་ པ་ དང་ །_ སྐྱེ་ བོ་ 96
པོ་ ལ་ དགོད་ པར་ འདོད་ པ་ དང་ །_ 58
པོ་ ཕྱག་ ན་ རྡོ་ རྗེས་ དེ་ བཞིན་ གཤེགས་ 49
པོ་ ཆོས་ བཞི་ པོ་ དེ་ དག་ དང་ ལྡན་ 45
པོ་ མཆོག་ དང་ མཆོག་ མ་ ཡིན་ པ་ ཤེས་ 41
པོ་ མེད་ པའི་ ངོ་ བོ་ ཉིད་ སྟོང་ པ་ 1155
པོ་ མེད་ པ་ མ་ ཡིན་ ན་ ནི །_ 62
པོ་ མེད་ པ་ སྟོང་ པ་ ཉིད་ དང་ །_ 112
པོ་ མེད་ ཅེས་ བྱ་ བར་ མི་ སྦྱོར་ རོ 103
པོ་ འཕགས་ པ་ སྤྱན་ རས་ གཟིགས་ དབང་ ཕྱུག་ 306
པོ་ གང་ ལ་ བྱིས་ པ་ སོ་ སོའི་ སྐྱེ་ 62
པོ་ གང་ ཡང་ མྱེད་ དོ །_། དེ་ བཞིན་ 44
པོ་ གང་ དག་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 44
པོ་ གང་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ ཏུ་ 104
པོ་ གང་ ཞེ་ ན །_ འདི་ ལྟ་ སྟེ 46
པོ་ གང་ གཱའི་ ཀླུང་ གི་ བྱེ་ མ་ སྙེད་ 49
པོ་ ཆེན་ པོ་ རྣམས་ དང་ །_ ཕྱུག་ པོ་ 99
པོ་ ཆེན་ པོ་ ཇི་ སྙམ་ དུ་ སེམས །_ 42
པོ་ ཆེན་ པོ་ དཔལ་ རྡོ་ རྗེ་ མཁའ་ འགྲོ་ 51
པོ་ ཆེན་ པོའི་ རྒྱུད་ ཀྱི་ རྒྱལ་ པོ་ ལས་ 42
པོ་ སྙིང་ རྗེ་ ཆེན་ པོ་ དང་ ལྡན་ པ་ 68
པོ་ འདི་ ཉིད་ ལ་ སྐྱེ་ དགུའི་ ཚེ་ ལོ་ 114
པོ་ འདི་ དག་ ནི་ བྱང་ ཆུབ་ སེམས་ དཔའ་ 328
པོ་ ཡིན་ ཏེ །_ དངོས་ པོ་ མེད་ པ་ 44
པོ་ ནི་ ཕྱིར་ མི་ ལྡོག་ པར་ རིག་ པར་ 63
པོ་ ནི་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ ཏུ་ 48
པོ་ ནི་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ པ་ དྲུག་ 64
པོ་ རྒྱལ་ རིགས་ སྤྱི་ བོ་ ནས་ དབང་ བསྐུར་ 113
པོ་ ཚུལ་ ཁྲིམས་ ཀྱི་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ 113
པོ་ རྣམས་ དང་ །_ བློན་ པོ་ ཆེན་ པོ་ 101
པོ་ རྣམས་ དང་ །_ སྟོབས་ རྣམས་ དང་ །_ 166
པོ་ རྣམས་ དང་ །_ ཕོ་ བྲང་ འཁོར་ གྱི་ 98
པོ་ རྣམས་ དང་ །_ ཕྱུག་ པོ་ རྣམས་ དང་ 99
པོ་ རྣམས་ ལ་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 68
པོ་ རྣམས་ ལ་ སྨྲས་ པ །_ ཤེས་ ལྡན་ 70
པོ་ རྣམས་ ལ་ བསྒོ་ བ །_ ཤེས་ ལྡན་ 51
པོ་ རྣམས་ ཀྱི་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 53
པོ་ རྣམས་ ཀྱི་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ པ་ 481
པོ་ རྣམས་ ཀྱིས་ བཀུར་ སྟི་ བྱས །_ བླ་ 100
པོ་ རྣམས་ ཀྱིས་ མཆོད་ ཅིང་ ཤེས་ པའི་ སངས་ 100
པོ་ རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ 109
པོ་ རྣམ་ པར་ དག་ པ་ གང་ ཡིན་ པ་ 475
པོ་ རྣམ་ པར་ དག་ པ་ འདི་ ལ་ གཉིས་ 48
པོ་ རྣམ་ པར་ དག་ པ་ སྟེ །_ དེ་ 439
པོ་ གཉིས་ སུ་ མེད་ པ་ མཉམ་ པ་ ཉིད་ 66
པོ་ ཉིད་ དུ་ བྱང་ ཆུབ་ ཏུ་ ནི་ སེམས་ 90
པོ་ ཞེས་ བྱའོ །_། རིམ་ གྲོ་ པ་ ནི་ 44
པོ་ ཞེས་ བྱ་ བ་ བཞུགས་ ཏེ་ འཚོ་ ཞིང་ 62
པོ་ ཞེས་ བྱ་ བ་ ཡོད་ དེ །_ དེ་ 63
པོ་ ཞེས་ བྱ་ བ་ ཐེག་ པ་ ཆེན་ པོའི་ 47
པོ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ དང་ 90
པོ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ ལ་ 49
པོ་ ཡང་ བླ་ ན་ མྱེད་ པ་ ཡང་ དག་ 108
པོ་ དག་ ལྷགས་ ན །_ དེ་ དག་ གིས་ 77
པོ་ དེ་ ནི་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 44
པོ་ དེ་ ཡང་ གནས་ པ་ ཡང་ མ་ ཡིན་ 152
པོ་ དེ་ དག་ དང་ ལྡན་ ན་ བྱང་ ཆུབ་ 164
པོ་ དེ་ དག་ ལ་ མྱི་ རྟོག་ པ་ སྟེ 45
པོ་ དེ་ དག་ ནི་ བྱང་ ཆུབ་ སེམས་ དཔའ་ 366
པོ་ དེ་ བཞིན་ གཤེགས་ པ་ ཐམས་ ཅད་ ཀྱི་ 51
པོ་ དེ་ བཞིན་ གཤེགས་ པ་ དགྲ་ བཅོམ་ པ་ 58
པོ་ དེ་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ ཏུ་ 79
པོ་ དེ་ ཁོ་ ན་ ཉིད་ ངེས་ པ་ ལས་ 75
པོ་ ཡོངས་ སུ་ མྱ་ ངན་ ལས་ འདས་ པའི་ 52
པོ་ ཡོངས་ སུ་ དག་ པ་ འདི་ ལ་ གཉིས་ 45
པོ་ ཡོངས་ སུ་ དག་ པ་ སྟེ །_ དེ་ 417
པོ་ ཡོངས་ སུ་ སྦྱོང་ བར་ འགྱུར་ ཏེ །_ 69
པོ་ ཡོངས་ སུ་ སྦྱོང་ བར་ འགྱུར་ བའོ །_། 66
པོ་ ཡོངས་ སུ་ བརྟག་ པར་ བྱའོ །_། རབ་ 52
པོ་ བརྩོན་ འགྲུས་ ཀྱི་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ 93
པོ་ མ་ ཡིན་ པས །_ དེའི་ ཕྱིར་ ཐེག་ 87
པོ་ མ་ ལུས་ པའི་ མྱ་ ངན་ ལས་ འདས་ 91
པོ་ མ་ ཚང་ ན་ ཉེས་ པ་ སྦོམ་ པོར་ 54
པོ་ མ་ མཆིས་ པའི་ སླད་ དུ །_ ཤེས་ 112
པོ་ མ་ མཆིས་ པ་ ཉིད་ དང་ །_ དེ་ 111
པོ་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ དུ་ ཕྱིན་ 528
པོ་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ 3579
པོ་ ལྷག་ མ་ མེད་ པའི་ མྱ་ ངན་ ལས་ 81
པོ་ ཡོད་ པ་ ཞིག་ ཡིན་ ཏེ །_ དངོས་ 99
པོ་ ཡོད་ པ་ འམ །_ དངོས་ པོ་ མྱེད་ 114
པོ་ ཡོད་ ཅེས་ བྱ་ བར་ མི་ སྦྱོར་ རོ 107
པོ་ ཡོད་ ཅེས་ བྱ་ བར་ མྱི་ སྒོམ་ མོ 163
པོ་ བྱང་ ཆུབ་ ཀྱི་ ལམ་ ཐོབ་ པར་ འགྱུར་ 44
པོ་ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ དཔའ་ ཆེན་ 120
པོ་ ལས་ ཡོངས་ སུ་ མི་ འགྲོལ་ བར་ བརྗོད་ 82
པོ་ སེམས་ དང་ པོ་ བསྐྱེད་ པ་ ནས་ ཉེ་ 52
པོ་ བརྒྱ་ བྱིན་ ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ 78
པོ་ བརྒྱ་ བྱིན་ ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ 73
པོ་ བརྒྱ་ བྱིན་ གྱིས་ འདི་ སྐད་ ཅེས་ གསོལ་ 84
པོ་ ཆེ་ དང་ །_ ནོར་ བུ་ རིན་ པོ་ 43
པོ་ ཆེ་ དང་ །_ རྟ་ རིན་ པོ་ ཆེ་ 43
པོ་ ཆེ་ དང་ །_ ཁྱིམ་ བདག་ རིན་ པོ་ 44
པོ་ ལྔ་ དང་ །_ སྟོབས་ ལྔ་ དང་ །_ 173
པོ་ བཟོད་ པའི་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ པ་ 104
པོ་ ལག་ ན་ རྡོ་ རྗེས་ འདི་ སྐད་ ཅེས་ 45
པོ་ ལག་ ན་ རྡོ་ རྗེས་ བཅོམ་ ལྡན་ འདས་ 59
པོ་ ལག་ ན་ རྡོ་ རྗེ་ ལ་ འདི་ སྐད་ 72
པོ་ འདིས་ ཀྱང་ ལྷ་ དང་ །_ མྱི་ དང་ 116
པོ་ འདིས་ ལྷ་ དང་ །_ མྱི་ དང་ །_ 112
པོ་ ཞིག་ ཡིན་ ནི །_ ཐེག་ པ་ ཆེན་ 49
པོ་ བླ་ ན་ མེད་ པ་ ཡང་ དག་ པར་ 357
པོ་ བླ་ ན་ མྱེད་ པ་ ཡང་ དག་ པར་ 99
པོ་ ཅན་ གྱི་ སེང་ གེའི་ ཁྲི་ རྒྱ་ མཚོ་ 62
པོ་ གཅིག་ ཏུ་ འདུག་ གོ །_། མཆོད་ རྟེན་ 210
པོ་ ཉི་ ཤུ་ ཡེ་ ཤེས་ རྡོ་ རྗེས་ བཅོམ་ 81
པོ་ ཚང་ ན་ ཕམ་ པར་ འགྱུར་ ལ །_ 52
པོ་ ག་ ལ་ བ་ དེར་ སོང་ སྟེ་ ཕྱིན་ 40
པོ་ མྱུར་ དུ་ བླ་ ན་ མེད་ པ་ ཡང་ 188
པོ་ སྦྱིན་ པའི་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ པ་ 154
པོ་ ཕ་ རོལ་ དུ་ ཕྱིན་ པ་ དྲུག་ ལ་ 40
པོ་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ པ་ དྲུག་ ལ་ 140
པོ་ མེ་ ཏོག་ ཀུན་ ཏུ་ རྒྱས་ པ་ མངོན་ 69
པོ་ འཐུང་ །_། འདུག་ ཅིག་ སོར་ མོའི་ ཕྲེང་ 89
པོ་ བརྒྱད་ ཅུས་ མཛེས་ པར་ བྱས་ པ །_ 41
པོ་ ཆེའི་ རི་ བོ་ འགྲོ་ བ་ ལྟ་ བུ་ 44
པོ་ ཛི་ ན་ མི་ ཏྲ་ དང་ །_ དཱ་ 84
པོ་ སྟོང་ པ་ ཉིད་ དང་ །_ དོན་ དམ་ 221
པོ་ སྟོང་ པ་ ཉིད་ རྣམ་ པར་ དག་ པ་ 67
པོ་ སྟོང་ པ་ ཉིད་ རྣམ་ པར་ དག་ པས 40
པོ་ སྟོང་ པ་ ཞེས་ བྱ་ བར་ ཡིད་ ལ་ 52
པོ་ བསྐྱེད་ པ་ ནས་ ཉེ་ བར་ བཟུང་ སྟེ 194
པོ་ བསམ་ གཏན་ གྱི་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ 101
པོ་ བྱམས་ པས་ འདི་ སྐད་ ཅེས་ གསོལ་ ཏོ 43
པོ་ སྤྲིན་ ཆེན་ པོའི་ མདོ་ ལ་ དེ་ བཞིན་ 137
པོ་ སྒྲིབ་ པ་ ཐམས་ ཅད་ རྣམ་ པར་ སེལ་ 46
པོ་ མྱེད་ པའི་ ངོ་ བོ་ ཉིད་ ཀྱི་ ཚུལ་ 407
པོ་ མྱེད་ པའི་ ངོ་ བོ་ ཉིད་ སྟོང་ པ་ 1408
པོ་ མྱེད་ པའི་ ཕྱིར །_ ཡིད་ ལ་ བྱེད་ 99
པོ་ མྱེད་ པ་ གང་ ཡིན་ པ་ དེ་ ནི་ 79
པོ་ མྱེད་ པ་ ནི་ དངོས་ པོ་ མྱེད་ པས་ 100
པོ་ མྱེད་ པ་ སྟེ །_ དངོས་ པོ་ མྱེད་ 104
པོ་ མྱེད་ པ་ མ་ ཡིན་ ན་ ནི །_ 71
པོ་ མྱེད་ པ་ སྟོང་ པ་ ཉིད་ དང་ །_ 88
པོ་ མྱེད་ པ་ སྟོང་ པ་ ཉིད་ རྣམ་ པར་ 115
པོ་ མྱེད་ པ་ སྟོང་ པ་ ཉིད་ ཡོངས་ སུ་ 80
པོ་ མྱེད་ པས་ ཡོངས་ སུ་ བསྔོ་ བར་ མྱི་ 106
པོ་ མྱེད་ པས་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 52
པོ་ མྱེད་ པས་ དེའི་ ཕྱིར་ ཐེག་ པ་ ཆེན་ 54
པོ་ མྱེད་ པར་ ཡང་ ཡིད་ ལ་ མྱི་ བྱེད་ 116
པོ་ མྱེད་ ལ །_ དངོས་ པོ་ མ་ ཡིན་ 51
པོ་ མྱེད་ པའོ །_། དངོས་ པོ་ མྱེད་ པ་ 102
དང་ བ་ དང་ །_ དགེ་ བ་ དང་ །_ 42
དང་ །_། དེ་ དག་ ཀྱང་ ནི་ འདུས་ པར་ 41
དང་ །_། བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ དཔའ་ 46
དང་ །_། གཞན་ ཟེར་ བ་ དང་ གཅིག་ ནས་ 67
དང་ །_། སྙོམས་ ཞུགས་ འགྲོ་ བ་ ཐ་ མའོ 47
དང་ །_ འདུལ་ བ་ འཛིན་ པ་ དང་ །_ 51
དང་ །_ བ་ དན་ དང་ །_ སིལ་ སྙན་ 90
དང་ །_ བ་ ལང་ དང་ །_ མ་ ཧེ་ 68
དང་ །_ སོ་ སོ་ ཡང་ དག་ པར་ རིག་ 1156
དང་ །_ སོ་ སོར་ གནས་ པ་ དང་ །_ 63
དང་ །_ ཐམས་ ཅད་ དང་ ལྡན་ པའི་ འཁོར་ 150
དང་ །_ ཐམས་ ཅད་ མཁྱེན་ པའི་ ཡེ་ ཤེས་ 107
དང་ །_ ཕྱག་ བྱ་ བ་ དང་ །_ བསྙེན་ 74
དང་ །_ ཕྱག་ བགྱི་ བ་ དང་ །_ བསྙེན་ 48
དང་ །_ འཇིག་ རྟེན་ པ་ དང་ །_ འཇིག་ 46
དང་ །_ འཇིག་ རྟེན་ ལ་ སྙིང་ བརྩེ་ བ་ 64
དང་ །_ འཇིག་ རྟེན་ ལ་ ཐུགས་ བརྩེ་ བ་ 44
དང་ །_ འཇིག་ རྟེན་ གྱི་ ཁམས་ ཐམས་ ཅད་ 122
དང་ །_ འཇིག་ རྟེན་ ལས་ འདས་ པའི་ ཆོས་ 68
དང་ །_ འཇིག་ རྟེན་ ལས་ འདས་ པ་ དང་ 56
དང་ །_ འཇིག་ རྟེན་ སྐྱོང་ བ་ དང་ །_ 68
དང་ །_ རྟེན་ ཅིང་ འབྲེལ་ བར་ འབྱུང་ བ་ 100
དང་ །_ རྟེན་ ཅིང་ འབྲེལ་ པར་ འབྱུང་ བ་ 204
དང་ །_ གསུམ་ པ་ དང་ །_ བཞི་ པ་ 63
དང་ །_ ཆོས་ དང་ །_ དགེ་ སློང་ གི་ 50
དང་ །_ ཆོས་ དང་ །_ དགེ་ འདུན་ དང་ 46
དང་ །_ ཆོས་ དང་ །_ དགེ་ འདུན་ ལ་ 110
དང་ །_ ཆོས་ ཐམས་ ཅད་ གང་ ཡིན་ པ་ 40
དང་ །_ ཆོས་ ཐམས་ ཅད་ སྟོང་ པ་ ཉིད་ 326
དང་ །_ ཆོས་ ཀྱི་ གནས་ ཉིད་ དང་ །_ 157
དང་ །_ ཆོས་ ཀྱི་ འཁོར་ ལོ་ བསྐོར་ བ་ 44
དང་ །_ ཆོས་ ཀྱི་ དབྱིངས་ དང་ །_ ཆོས་ 173
དང་ །_ ཆོས་ རྣམ་ པར་ དག་ པ་ དང་ 60
དང་ །_ ཆོས་ ཉིད་ དང་ །_ ཆོས་ ཀྱི་ 169
དང་ །_ ཆོས་ སྐྱོན་ མེད་ པ་ ཉིད་ དང་ 111
དང་ །_ ཆོས་ སྐྱོན་ མྱེད་ པ་ ཉིད་ དང་ 68
དང་ །_ སྒྲ་ དང་ །_ དྲི་ དང་ །_ 151
དང་ །_ སྒྲ་ རྣམ་ པར་ དག་ པ་ དང་ 59
དང་ །_ ཚངས་ པ་ དང་ །_ འཇིག་ རྟེན་ 218
དང་ །_ ཚངས་ པ་ དང་ །_ ཁྱབ་ འཇུག་ 51
དང་ །_ ཚངས་ པ་ ཀུན་ འཁོར་ དང་ །_ 56
དང་ །_ ཚངས་ ཆེན་ དང་ །_ སྣང་ བ་ 45
དང་ །_ ཚངས་ ལྷ་ ཉེ་ ཕན་ དང་ །_ 58
དང་ །_ དབང་ པོ་ དང་ །_ སྟོབས་ དང་ 187
དང་ །_ དབང་ པོ་ རྣམས་ དང་ །_ སྟོབས་ 166
དང་ །_ དབང་ པོ་ ལྔ་ དང་ །_ སྟོབས་ 175
དང་ །_ དབང་ ཕྱུག་ ཆེན་ པོ་ དང་ །_ 102
དང་ །_ ནོར་ དང་ །_ འབྲུ་ དང་ །_ 65
དང་ །_ ནོར་ བུ་ དང་ །_ མུ་ ཏིག་ 130
དང་ །_ ནོར་ བུ་ རིན་ པོ་ ཆེ་ དང་ 63
དང་ །_ སྡུག་ བསྔལ་ བ་ དང་ །_ བདག་ 79
དང་ །_ སྡུག་ བསྔལ་ བ་ དང་ །_ ཡིད་ 354
དང་ །_ སྡུག་ བསྔལ་ བ་ དང་ །_ སྟོང་ 109
དང་ །_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བ་ དང་ 117
དང་ །_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ གནས་ 105
དང་ །_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ ཡོངས་ 83
དང་ །_ མཐའ་ ལས་ འདས་ པ་ སྟོང་ པ་ 328
དང་ །_ འགྲོ་ བ་ གཞན་ དུ་ གནས་ པ་ 77
དང་ །_ འཕགས་ པའི་ ལམ་ ཡན་ ལག་ བརྒྱད་ 577
