༄༅ དཀོན་ མཆོག་ གསུམ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། 81
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ་ ལ་ འདི་ སྐད་ 178
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ་ རྣམ་ གྲངས་ དེས་ 220
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ་ དེ་ ཇི་ སྙམ་ 67
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ་ དེ་ ལྟར་ ན 55
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ་ བྱང་ ཆུབ་ སེམས་ 70
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ་ གཞན་ ཡང་ བྱང་ 101
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ །_ རྣམ་ གྲངས་ 231
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ །_ དེ་ བཞིན་ 117
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ །_ དེ་ ལྟར་ 70
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ །_ བདག་ ནི་ 219
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ །_ ནང་ སྟོང་ 45
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ །_ བྱང་ ཆུབ་ 51
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ །_ གཞན་ ཡང་ 90
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུ །_ མྱིག་ གི་ 59
པ་ ཤ་ ར་ དྭ་ ཏིའི་ བུས །_ ཚེ་ དང་ 56
པ་ དངོས་ པོ་ ཡོད་ ཅེས་ བྱ་ བར་ མྱི་ སྒོམ་ 58
པ་ དངོས་ པོ་ མྱེད་ པར་ རིག་ པར་ བྱའོ །_། 86
པ་ བརྒྱད་ དང་ །_ མཐར་ ཀྱིས་ གནས་ པའི་ སྙོམས་ 65
པ་ བརྒྱད་ དང་ །_ མཐར་ གྱིས་ གནས་ པའི་ སྙོམས་ 268
པ་ མཉམ་ པ་ དག་ ལྷགས་ ན །_ དེ་ དག་ 83
པ་ བཟློག་ ལ །_ སྣང་ བ་ བྱས་ ཤིང་ མུན་ 40
པ་ བཤད་ པར་ བྱའོ །_། བསྟན་ པར་ བྱའོ །_། 51
པ་ ལྷ་ དང་ མི་ རྣམས་ ཀྱི་ སྟོན་ པ་ སངས་ 42
པ་ ལྷ་ དང་ མི་ རྣམས་ ཀྱི་ སྟོན་ པ །_ 52
པ་ སྤྱན་ རས་ གཟིགས་ དབང་ ཕྱུག་ ལ་ ཕྱག་ འཚལ་ 69
པ་ སྤྱན་ རས་ གཟིགས་ དབང་ ཕྱུག་ ཐུགས་ རྗེ་ ཆེན་ 62
པ་ སྟོང་ པ་ ཉིད་ དང་ །_ རང་ བཞིན་ སྟོང་ 195
པ་ སྟོང་ པ་ ཉིད་ དང་ །_ ཐོག་ མ་ དང་ 259
པ་ སྟོང་ པ་ ཉིད་ དང་ །_ ངོ་ བོ་ ཉིད་ 195
པ་ སྟོང་ པ་ ཉིད་ དང་ །_ འདུས་ བྱས་ སྟོང་ 216
པ་ སྟོང་ པ་ ཉིད་ དང་ །_ དངོས་ པོ་ མེད་ 113
པ་ སྟོང་ པ་ ཉིད་ དང་ །_ དངོས་ པོ་ མྱེད་ 89
པ་ སྟོང་ པ་ ཉིད་ དང་ །_ དོར་ བ་ མེད་ 120
པ་ སྟོང་ པ་ ཉིད་ དང་ །_ དོར་ བ་ མྱེད་ 90
པ་ སྟོང་ པ་ ཉིད་ དང་ ཐོག་ མ་ དང་ ཐ་ 73
པ་ སྟོང་ པ་ ཉིད་ ལ་ སྤྱོད་ པ་ དང་ །_ 78
པ་ སྟོང་ པ་ ཉིད་ ལ་ སློབ་ བོ །_། དེ་ 44
པ་ སྟོང་ པ་ ཉིད་ འཇིག་ རྟེན་ དུ་ འབྱུང་ བར་ 42
པ་ སྟོང་ པ་ ཉིད་ དུ་ རིག་ པར་ བྱའོ །_། 141
པ་ སྟོང་ པ་ ཉིད་ ཀྱི་ ཕྱིར་ རོ །_། གསོལ་ 105
པ་ སྟོང་ པ་ ཉིད་ ཀྱི་ ཕྱིར །_ བྱང་ ཆུབ་ 129
པ་ སྟོང་ པ་ ཉིད་ ཀྱི་ ཕྱིར །_ ཡིད་ ལ་ 44
པ་ སྟོང་ པ་ ཉིད་ གང་ ཡིན་ པ་ དང་ །_ 69
པ་ སྟོང་ པ་ ཉིད་ རྣམ་ པར་ དག་ པ་ དང་ 216
པ་ སྟོང་ པ་ ཉིད་ རྣམ་ པར་ དག་ པ་ གང་ 78
པ་ སྟོང་ པ་ ཉིད་ རྣམ་ པར་ དག་ པ་ འདི་ 95
པ་ སྟོང་ པ་ ཉིད་ རྣམ་ པར་ དག་ པ །_ 96
པ་ སྟོང་ པ་ ཉིད་ རྣམ་ པར་ དག་ པས །_ 240
པ་ སྟོང་ པ་ ཉིད་ ཡང་ དག་ པར་ རྗེས་ སུ་ 106
པ་ སྟོང་ པ་ ཉིད་ ཡོངས་ སུ་ དག་ པ་ འདི་ 89
པ་ སྟོང་ པ་ ཉིད་ ཡོངས་ སུ་ དག་ པ །_ 90
པ་ སྟོང་ པ་ ཉིད་ ཡོངས་ སུ་ དག་ པས །_ 89
པ་ སྟོང་ པ་ ཉིད་ ཡོངས་ སུ་ རྫོགས་ པར་ བྱེད་ 83
པ་ སྟོང་ པ་ ཉིད་ ཀྱང་ གཞན་ མ་ ཡིན །_ 45
པ་ སྟོང་ པ་ ཉིད་ ཀྱང་ དམིགས་ ལ །_ སྟོང་ 123
པ་ སྟོང་ པ་ ཉིད་ ཀྱང་ དམྱིགས་ ལ །_ སྟོང་ 183
པ་ སྟོང་ པ་ ཉིད་ ཅེས་ བྱ་ བར་ རྣམ་ པར་ 42
པ་ སྟོང་ པ་ ཉིད་ མྱི་ གནས་ པའི་ ཚུལ་ དང་ 42
པ་ སྟོང་ པ་ ཞེས་ བྱ་ བར་ སྟོན་ ཏོ །_། 107
པ་ སྟོང་ པ་ ཞེས་ བྱ་ བར་ ཡིད་ ལ་ བྱེད་ 314
པ་ སྟོང་ ཞེས་ བྱ་ བ་ དང་ །_ མྱི་ སྟོང་ 42
པ་ སྟོང་ ཕྲག་ བརྒྱ་ པ །_ བམ་ པོ་ བཅུ་ 94
པ་ སྟོང་ ཕྲག་ བརྒྱ་ པ །_ བམ་ པོ་ ཉི་ 66
པ་ སྟོང་ ཕྲག་ ཉི་ ཤུ་ ལྔ་ པ་ ལས །_ 53
པ་ སྟོང་ ཕྲག་ ཉི་ ཤུ་ ལྔ་ པ །_ བམ་ 70
པ་ ཁམས་ གསུམ་ པའི་ འདོད་ ཆགས་ དང་ བྲལ་ བར་ 87
པ་ མད་ དོ །_། སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ 132
པ་ བསད་ པ་ དང་ །_ དེ་ བཞིན་ གཤེགས་ པ་ 48
པ་ རི་ མི་ ཏ་ ཨཱ་ ཡུར་ ཛྙཱ་ ན་ སུ་ 58
པ་ རི་ ཤུདྡྷ་ དྷརྨྨ་ ཏེ་ ག་ ག་ ན་ ས་ 76
པ་ རྗོད་ པ་ ཡིན །_ སེམས་ ཅན་ གཞན་ གང་ 55
པ་ རྗོད་ ཅིང་ མཐུན་ པས་ དགའ་ བར་ སྤྱོད་ པ་ 40
པ་ རྗོད་ ཅིང་ རྗེས་ སུ་ དགའ་ བར་ འགྱུར་ རོ 87
པ་ དང །_ མ་ འོངས་ པ་ དང །_ ད་ 62
པ་ དང །_ བཅོམ་ ལྡན་ འདས་ ཀྱིས་ བཀའ་ སྩལ་ 131
པ་ འགོག་ པ་ ཤེས་ པ་ འདི་ ལྟར་ རབ་ ཏུ་ 49
པ་ འགོག་ པ་ ཤེས་ པ་ ཡང་ དག་ པ་ ཇི་ 85
པ་ འགོག་ པ་ ཤེས་ པ་ དེ་ ལ་ ཡང་ ཞུ་ 56
པ་ འགོག་ པ་ ཤེས་ པ་ ཇི་ སྙེད་ པ་ ཉིད་ 41
པ་ འགོག་ པར་ འགྱུར་ བའི་ ལམ་ ཤེས་ པ་ ལ་ 40
པ་ འགོག་ པར་ འགྱུར་ བའི་ ལམ་ ཤེས་ པ་ འདི་ 48
པ་ འགོག་ པར་ འགྱུར་ བའི་ ལམ་ ཤེས་ པ་ ཡང་ 119
པ་ འགོག་ པར་ འགྱུར་ བའི་ ལམ་ ཤེས་ པ་ དེ་ 56
པ་ འགོག་ པར་ འགྱུར་ བའི་ ལམ་ ཤེས་ པ་ ཇི་ 46
པ་ སྦོམ་ པོར་ འགྱུར་ རོ །_། དགེ་ སློང་ གིས་ 45
པ་ སྦོམ་ པོར་ འགྱུར་ རོ །_། བཙུན་ པ་ དགེ་ 91
པ་ སྦོམ་ པོར་ འགྱུར་ རོ །_། བཙུན་ པ་ རེ་ 105
པ་ རྡོ་ རྗེ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ 213
པ་ རྡོ་ རྗེའི་ ཏིང་ ངེ་ འཛིན་ ལ་ སྙོམས་ པར་ 165
པ་ ཟུང་ ཤིག །_ ཀུན་ ཆུབ་ པར་ གྱིས་ ཤིག 48
པ་ ལགས །_ དེ་ སྐད་ ཅེས་ གསོལ་ པ་ དང་ 51
པ་ ལགས །_ བཅོམ་ ལྡན་ འདས་ ཀྱིས་ བཀའ་ སྩལ་ 714
པ་ ལགས །_ ཇི་ ལྟར་ ན་ ཤེས་ རབ་ ཀྱི་ 51
པ་ ལགས །_ ཇི་ ལྟར་ ཤེས་ རབ་ ཀྱི་ ཕ་ 48
པ་ མཽད་ གལ་ གྱི་ བུ་ ཆེན་ པོ་ ལ་ འདི་ 44
པ་ རྫུ་ འཕྲུལ་ ཅན །_། འདུས་ པ་ ལན་ གྲངས་ 92
པ་ མཐུ་ དང་ ལྡན་ པར་ བགྱིད་ པ་ འམ །_ 51
པ་ ཤཱ་ རིའི་ བུས་ འདི་ སྐད་ ཅེས་ གསོལ་ ཏོ 97
པ་ ཤཱ་ རིའི་ བུ་ དང་ །_ མཽད་ གལ་ གྱི་ 64
པ་ ཤཱ་ རིའི་ བུ་ ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ 71
པ་ ཤཱ་ རིའི་ བུ་ ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ 74
པ་ ཤཱ་ རིའི་ བུ་ ལ་ བཀའ་ སྩལ་ པ །_ 43
པ་ ཤཱ་ རིའི་ བུ་ གཞན་ ཡང་ བྱང་ ཆུབ་ སེམས་ 43
པ་ བསལ་ ཏེ །_ སེམས་ ཅན་ དཔག་ ཏུ་ མེད་ 46
པ་ སྨོན་ པ་ ཡོད་ ཅེས་ བྱ་ བ་ དང་ །_ 52
པ་ བརྒྱར་ ཡང་ ནི །_། ཆུད་ མི་ ཟ་ བའང་ 51
པ་ བརྒྱར་ ཡང་ ཆུད་ མི་ ཟ །_། ཚོགས་ ཤིང་ 62
པ་ བསྒོམ་ པ་ ནི །_ ཤེས་ རབ་ ཀྱི་ ཕ་ 218
པ་ བསྒོམ་ པ་ རྣམ་ པར་ བསྒོམ་ པའོ །_། བཅོམ་ 41
པ་ བསྒོམ་ པ་ ཡོངས་ སུ་ རྫོགས་ པར་ འགྱུར་ རོ 250
པ་ བསྒོམ་ པ །_ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 171
པ་ ཨུ་ པཱ་ ལིས་ ཞུས་ པ །_ བཙུན་ པ་ 166
པ་ ཙི་ ཏེ །_ ཨོྃ་ སརྦ་ སཾ་ སྐཱ་ ར་ 51
པ་ རློམ་ སེམས་ སུ་ མྱི་ བྱེད །_ སྤྲུལ་ པས་ 104
པ་ མྱེད་ པའི་ ཕྱིར །_ ཤེས་ རབ་ ཀྱི་ ཕ་ 93
པ་ མྱེད་ པའི་ ཕྱིར །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ 112
པ་ མྱེད་ པ་ དང་ །_ ཀུན་ ནས་ ཉོན་ མོངས་ 203
པ་ མྱེད་ པ་ དང་ །_ རྣམ་ པར་ བྱང་ བ་ 211
པ་ མྱེད་ པ་ དང་ །_ མངོན་ པར་ ཤེས་ པ་ 63
པ་ མྱེད་ པ་ དང་ །_ མངོན་ པར་ ཆགས་ པ་ 107
པ་ མྱེད་ པ་ གང་ ཡིན་ པ་ དེ་ ནི །_ 178
པ་ མྱེད་ པ་ དེ་ ལ་ གནས་ པ་ ལས་ གཞན་ 97
པ་ མྱེད་ པ་ སྟེ །_ གང་ དང་ ཡང་ བྲལ་ 292
པ་ མྱེད་ ན །_ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 99
པ་ མྱེད་ པར་ ཡང་ དག་ པར་ རྗེས་ སུ་ མྱི་ 63
པ་ མྱེད་ པར་ མངོན་ པར་ ཆགས་ པ་ མྱེད་ དོ 93
པ་ མྱེད་ ཅིང་ ཁོངས་ སུ་ ཆུད་ པ་ མྱེད་ དོ 190
པ་ མྱེད་ དེ །_ ཕྱི་ ནང་ སྟོང་ པ་ ཉིད་ 102
པ་ མྱེད་ ཅེས་ བྱ་ བ་ དང་ །_ མངོན་ པར་ 84
པ་ མྱེད་ ཅེས་ བྱ་ བར་ གནས་ པར་ མྱི་ བྱའོ 74
པ་ མྱེད་ ཅེས་ བྱ་ བར་ རྣམ་ པར་ རྟོག་ པར་ 208
པ་ མྱེད་ ཅེས་ བྱ་ བར་ ཡོངས་ སུ་ མྱི་ རྟོག་ 89
པ་ མྱེད་ པས །_ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 308
པ་ མྱེད་ དོ །_། གང་ ལ་ སྐྱེ་ བ་ མྱེད་ 93
པ་ མྱེད་ དོ །_། ལུས་ ཀྱི་ འདུས་ ཏེ་ རེག་ 57
པ་ མྱེད་ དོ །_། ཡིད་ ཀྱི་ འདུས་ ཏེ་ རེག་ 59
པ་ མྱེད་ དོ །_། རྣ་ བའི་ འདུས་ ཏེ་ རེག་ 56
པ་ མྱེད་ དོ །_། མྱིག་ གི་ འདུས་ ཏེ་ རེག་ 49
པ་ མྱི་ མཐོང་ །_ རྣམ་ པར་ བྱང་ བ་ མྱི་ 98
པ་ མྱི་ མཐོང་ །_ འཕེལ་ བ་ མྱི་ མཐོང་ སྟེ 100
པ་ མྱི་ མཐོང་ །_ བླང་ བ་ མྱི་ མཐོང་ །_ 101
པ་ མྱི་ མཐོང་ །_ འབྲི་ བ་ མྱི་ མཐོང་ །_ 98
པ་ མྱི་ དམྱིགས་ སོ །_། དེ་ བཞིན་ གཤེགས་ པ་ 203
པ་ མྱི་ དམྱིགས་ པ་ ལགས །_ ཅིའི་ སླད་ དུ་ 210
པ་ མྱི་ དམྱིགས །_ གནས་ པ་ ལས་ གཞན་ དུ་ 105
པ་ བཞིའམ་ ལྷག་ པ་ དག་ འདུག་ ཅིང་ མཐུན་ པར་ 261
ལ་ བ་ དང་ །_ བཅོམ་ ལྡན་ འདས་ ག་ ལ་ 102
ལ་ བ་ དེ་ ལོགས་ སུ་ ཐལ་ མོ་ སྦྱར་ བ་ 600
ལ་ བ་ དེར་ སོང་ སྟེ་ ཕྱིན་ པ་ དང་ །_ 83
ལ་ བ་ དེར་ སོང་ སྟེ་ ཕྱིན་ ནས །_ བཅོམ་ 279
ལ་ བ་ དེར་ སོང་ སྟེ་ ཕྱིན་ ནས་ བཅོམ་ ལྡན་ 173
ལ་ བ་ དེར་ དོང་ སྟེ་ ལྷགས་ ནས །_ བཅོམ་ 112
ལ་ བཞུགས་ སོ །_། བཞུགས་ ནས་ བཅོམ་ ལྡན་ འདས་ 49
ལ་ རྒྱ་ ཆེར་ བརྗོད་ དེ་ བསྟན་ པ་ དང་ །_ 55
ལ་ སོ་ སོར་ བརྟགས་ པར་ གྱུར་ པས་ ཀྱང་ ཡང་ 91
ལ་ དང་ །_ པད་ མ་ དང་ །_ ཀུ་ མུ་ 96
ལ་ ལ་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ 52
ལ་ ལ་ ཞིག་ འདི་ སྐད་ དུ་ འདྲི་ ཞིང་ །_ 46
ལ་ ལ་ ཞིག་ གིས་ ཕྱོགས་ བཅུའི་ འཇིག་ རྟེན་ གྱི་ 45
ལ་ ཕྱག་ འཚལ་ ལོ །_། ཆོས་ ལ་ ཕྱག་ འཚལ་ 47
ལ་ ཕྱག་ འཚལ་ ལོ །_། འདི་ སྐད་ བདག་ གིས་ 573
ལ་ ཕྱག་ འཚལ་ ལོ །_། དགེ་ འདུན་ ལ་ ཕྱག་ 48
ལ་ ཕྱག་ འཚལ་ ལོ །_། དེ་ བཞིན་ གཤེགས་ པ་ 5205
ལ་ ཕྱག་ འཚལ་ ལོ །_། བཅོམ་ ལྡན་ འདས་ དེ་ 355
ལ་ ཕྱག་ འཚལ་ ལོ །_། བྱང་ ཆུབ་ སེམས་ དཔའ་ 816
ལ་ ཕྱག་ འཚལ་ བར་ འགྱུར་ བ་ འདི་ ཉིད་ རྒྱ་ 42
ལ་ ཕྱག་ འཚལ་ ཞིང་ །_། འདུས་ པའི་ ཚལ་ དུ་ 57
ལ་ ཕྱག་ འཚལ་ ནས་ འདི་ སྐད་ ཅེས་ གསོལ་ ཏོ 55
ལ་ ཆོས་ དང་ ལྡན་ པའི་ གཏམ་ གྱིས་ ཡང་ དག་ 97
ལ་ ཆོས་ ཀྱི་ རྗེས་ སུ་ ལྟ་ ཞིང་ གནས་ པ་ 56
ལ་ ཆོས་ ཀྱི་ མིག་ རྡུལ་ མེད་ ཅིང་ དྲི་ མ་ 148
ལ་ ཆོས་ ཀྱང་ སྟོན་ པའི་ སངས་ རྒྱས་ བཅོམ་ ལྡན་ 41
ལ་ ཆོས་ ཀྱང་ སྟོན་ ཏེ །_ བཅོམ་ ལྡན་ འདས་ 421
ལ་ དབང་ བྱེད་ དུ་ གཞུག་ པར་ བྱ །_ སུ་ 43
ལ་ མཐའ་ འམ་ དབུས་ མྱི་ དམྱིགས་ སོ །_། ཚེ་ 93
ལ་ འགྲོ་ བའམ་ འོང་ བ་ ལྟ་ ག་ ལ་ ཡོད 137
ལ་ བསླབ་ པའི་ གཞི་ འདི་ ལྟར་ གདོན་ པར་ བྱ་ 291
ལ་ བསླབ་ པར་ བྱའོ །_། བྱང་ ཆུབ་ སེམས་ དཔའ་ 81
ལ་ བསླབ་ པར་ བྱའོ །_། ཤ་ ར་ དྭ་ ཏིའི་ 189
ལ་ བསླབ་ པར་ བྱའོ །_། དངོས་ པོ་ མྱེད་ པའི་ 51
ལ་ བསླབ་ པར་ བྱའོ །_། ཤཱ་ རིའི་ བུ་ གཞན་ 43
ལ་ བསླབ་ པར་ བགྱི་ བ་ དང་ །_ ཇི་ ལྟར་ 67
ལ་ སངས་ རྒྱས་ མྱེད་ དོ །_། བྱང་ ཆུབ་ སེམས་ 104
ལ་ གང་ གཉིས་ སུ་ བྱར་ མྱེད་ པར་ སློབ་ པ་ 88
ལ་ གང་ སློབ་ པ་ དང་ །_ གཉིས་ སུ་ བྱར་ 64
ལ་ གང་ སྒོམ་ པ་ དེ་ ཤེས་ རབ་ ཀྱི་ ཕ་ 41
ལ་ གནས་ པའི་ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ དཔའ་ 87
ལ་ གནས་ པའི་ རྡུལ་ དག་ ཇི་ སྙེད་ པ་ དེ་ 48
ལ་ གནས་ པ་ ཡང་ མ་ ཡིན །_ མྱི་ གནས་ 99
ལ་ གནས་ པ་ དེ་ བཞིན་ དུ །_ འཇིག་ རྟེན་ 50
ལ་ གནས་ པ་ ལས་ གཞན་ དུ་ འགྱུར་ བ་ མྱེད་ 96
ལ་ གནས་ པ །_ འདོད་ ཆགས་ དང་ བྲལ་ བ་ 68
ལ་ གནས་ པ །_ འགོག་ པ་ ལ་ གནས་ པ 61
ལ་ གནས་ པར་ བྱ་ བ་ དང་ གང་ ལ་ བརྩོན་ 98
ལ་ གནས་ པར་ བྱའོ་ ཞེས་ བརྩོན་ པར་ མྱི་ བྱའོ 103
ལ་ གནས་ པར་ མྱི་ བྱའོ །_། དམྱིགས་ པའི་ ཚུལ་ 99
ལ་ གནས་ ཤིང་ །_ ཏིང་ ངེ་ འཛིན་ ཐམས་ ཅད་ 164
ལ་ གནས་ ཤིང་ བྱང་ ཆུབ་ སེམས་ དཔའ་ རྣམས་ དེ་ 76
ལ་ གནས་ ཏེ་ ཡོངས་ སུ་ བསྔོའོ །_། སེམས་ ཅན་ 46
ལ་ གནས་ མྱེད་ དོ །_། རབ་ འབྱོར་ དེ་ བཞིན་ 47
ལ་ གནས་ མྱེད་ དོ །_། དེ་ ཅིའི་ ཕྱིར་ ཞེ་ 95
ལ་ སྙིང་ པོ་ གང་ ཡང་ མྱེད་ དོ །_། དེ་ 44
ལ་ ནི །_། འབྲས་ བུ་ དག་ ཏུ་ འགྱུར་ བ་ 50
ལ་ འདི་ སྐད་ དུ་ ཆོས་ སྟོན་ ཏེ །_ ཀྱེ་ 46
ལ་ འདི་ སྐད་ ཅེས་ བྱ་ སྟེ །_ དཔེར་ ན་ 51
ལ་ འདི་ སྐད་ ཅེས་ གསོལ་ ཏོ །_། དགེ་ སྦྱོང་ 42
ལ་ འདི་ སྐད་ ཅེས་ གསོལ་ ཏོ །_། བཅོམ་ ལྡན་ 1881
ལ་ འདི་ སྐད་ ཅེས་ གསོལ་ ཏོ །_། བཙུན་ པ་ 381
ལ་ འདི་ སྐད་ ཅེས་ གསོལ་ ཏོ །_། གལ་ ཏེ་ 61
ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། འཕགས་ པ་ 70
ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། རྒྱལ་ པོ་ 58
ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། ཤེས་ ལྡན་ 42
ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། ཚེ་ དང་ 344
ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། བཙུན་ པ་ 192
ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། ཀྱེ་ རྒྱལ་ 71
ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། ཁྱིམ་ བདག་ 48
ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། རིགས་ ཀྱི་ 212
ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། ལྷའི་ བུ་ 60
ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། འཇམ་ དཔལ་ 166
ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། ཀཽ་ ཤི་ 56
ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ །_། རྒྱལ་ 51
ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ །_། ཀུན་ 134
ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ །_། རབ་ 250
ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ །_། ལག་ 43
ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ །_། བློ་ 44
ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ །_། ཤ་ 92
ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ །_། རིགས་ 274
ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ །_། འོད་ 43
ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ །_། འཇམ་ 113
ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ །_། ཤཱ་ 82
ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ །_། ཀཽ་ 57
ལ་ འདི་ ནི་ དེ་ བཞིན་ གཤེགས་ པའི་ རིགས་ ཀྱི་ 54
ལ་ འདི་ ལྟ་ སྟེ །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ 82
ལ་ ནི་ གནས་ པ་ འམ་ མྱི་ གནས་ པ་ མྱེད་ 74
ལ་ ནི་ སྔོན་ གྱི་ མཐའ་ མྱི་ དམྱིགས །_ ཕྱི་ 98
ལ་ རྒྱལ་ པོ་ རྣམས་ དང་ །_ བློན་ པོ་ ཆེན་ 94
ལ་ དགེ་ སློང་ གི་ དགེ་ འདུན་ བསྡུ་ བ་ མཛད་ 136
ལ་ དགེ་ སློང་ རྣམས་ ཀྱིས་ གསོལ་ པ་ དང་ །_ 70
ལ་ དགེ་ སློང་ དག་ གིས་ གསོལ་ པ་ དང་ །_ 40
ལ་ དགེ་ སློང་ ན་ རེ་ ཚེ་ དང་ ལྡན་ པ་ 50
ལ་ དགེ་ སློང་ གློ་ བུར་ དུ་ འོངས་ པ་ དང་ 63
ལ་ དགེ་ སློང་ གློ་ བུར་ དུ་ འོངས་ པ་ བཞིའམ་ 99
ལ་ དགེ་ སློང་ གཉུག་ མར་ གནས་ པ་ བཞིའམ་ ལྷག་ 99
ལ་ དགེ་ སྦྱོང་ གི་ ཚུལ་ ག་ ལ་ ཡོད །_ 100
ལ་ སྨན་ པ་ དང་ །_ སྐྱེ་ བོ་ མང་ པོ་ 56
ལ་ རྣམ་ པར་ སྨིན་ པར་ མི་ འགྱུར་ ཏེ །_ 63
ལ་ རྣམ་ པར་ སྨིན་ པར་ མི་ འགྱུར །_ ཆུའི་ 117
ལ་ རྣམ་ པར་ སྨིན་ པར་ འགྱུར་ ཏེ །_ ལས་ 44
ལ་ རྣམ་ པར་ སྨིན་ པར་ འགྱུར་ རོ །_། ལུས་ 61
ལ་ གཉིས་ ཀྱི་ འདུ་ ཤེས་ སུ་ མྱི་ འགྱུར་ བ་ 48
ལ་ གཉིས་ ཀྱི་ འདུ་ ཤེས་ སུ་ མྱི་ འགྱུར་ རོ 41
ལ་ གཉིས་ སུ་ མེད་ དེ་ གཉིས་ སུ་ བྱར་ མེད་ 134
ལ་ གཉིས་ སུ་ མེད་ དེ་ གཉིས་ སུ་ བྱར་ མྱེད་ 155
ལ་ གཉིས་ སུ་ མྱེད་ དེ་ གཉིས་ སུ་ བྱར་ མེད་ 164
ལ་ གཉིས་ སུ་ མྱེད་ དེ་ གཉིས་ སུ་ བྱར་ མྱེད་ 5235
ལ་ ངེས་ པར་ འབྱུང་ བར་ འདོད་ པ་ གང་ ཡིན་ 40
ལ་ ངེས་ པར་ འབྱུང་ བར་ འདོད་ དུ་ ཟད་ དོ 43
ལ་ བྱེད་ པ་ རང་ བཞིན་ མྱེད་ པར་ རིག་ པར་ 89
ལ་ བྱེད་ པ་ དེ་ མི་ དམིགས་ པའི་ ཚུལ་ གྱིས་ 48
ལ་ བྱེད་ པ་ མངོན་ པར་ རྫོགས་ པར་ འཚང་ མྱི་ 95
ལ་ བྱེད་ པ་ དབེན་ པར་ རིག་ པར་ བྱའོ །_། 120
ལ་ བྱེད་ པ་ དངོས་ པོ་ མྱེད་ པར་ རིག་ པར་ 86
ལ་ བྱེད་ པ་ སྟོང་ པ་ ཉིད་ དུ་ རིག་ པར་ 122
ལ་ བྱེད་ པ་ མྱེད་ པར་ རིག་ པར་ བྱའོ །_། 94
ལ་ བྱེད་ པའོ །_། གཉིས་ ལ་ སྤྱོད་ པ་ ཡང་ 53
ལ་ བྱེད་ དེ །_ དམྱིགས་ པའི་ ཚུལ་ གྱིས་ ཆོས་ 40
ལ་ བྱེད་ དེ །_ དམྱིགས་ པའི་ ཚུལ་ གྱིས་ རང་ 73
