༄༅ རྒྱ་ གར་ སྐད་ དུ །_ 319
།_ སྐྱེ་ མཆེད་ དང་ །_ ཁམས་ 59
།_ སྐྱེ་ མཆེད་ རྣམས་ དང་ །_ 62
།_ སྐྱེ་ མཆེད་ དྲུག་ དང་ །_ 77
།_ སྐྱེ་ མཆེད་ དྲུག་ རྣམ་ པར་ 54
།_ སྐྱེ་ མཆེད་ དྲུག་ ཡོངས་ སུ་ 60
།_ བོ་ དྷི་ ས་ ཏྭཱ་ ཡ 54
།_ བོ་ དྷི་ སཏྭཱ་ ཡ །_ 527
།_ ཤེས་ པ་ པོ་ དང་ །_ 78
།_ ཤེས་ པ་ པོ་ རྣམ་ པར་ 108
།_ ཤེས་ པ་ པོ་ ཡོངས་ སུ་ 102
།_ ཤེས་ རབ་ དང་ །_ རྣམ་ 86
།_ ཤེས་ རབ་ དང་ ལྡན་ པ་ 43
།_ ཤེས་ རབ་ ཀྱི་ དབང་ པོ་ 47
།_ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 10763
།_ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལད་ 78
།_ ཤེས་ རབ་ ཀྱི་ ཕུང་ པོ་ 91
།_ ཤེས་ རབ་ ཤིན་ ཏུ་ རྣམ་ 40
།_ ཤེས་ ལྡན་ དག་ འདི་ ལ་ 43
།_ ཤེས་ ལྡན་ དག་ བདག་ ཅག་ 50
།_ ཐོབ་ ན་ ཡང་ ཉེས་ བྱས་ 46
།_ ཤིང་ གེལ་ པ་ དང་ །_ 67
།_ ཞི་ བ་ དང་ །_ བདེ་ 60
།_ ཞི་ བ་ དང་ བདེ་ ལེགས་ 90
།_ ཞི་ བ་ འམ །_ མ་ 108
།_ ཞི་ གནས་ དང་ ལྷག་ མཐོང་ 64
།_ ཞི་ ཞེས་ བྱ་ བ་ དང་ 144
།_ ནང་ དུ་ ཡང་ དག་ འཇོག་ 64
།_ ནང་ སྟོང་ པ་ ཉིད་ དང་ 190
།_ ནང་ སྟོང་ པ་ ཉིད་ ལ་ 111
།_ ནང་ སྟོང་ པ་ ཉིད་ ཀྱི་ 84
།_ ནང་ སྟོང་ པ་ ཉིད་ རྣམ་ 56
།_ ནང་ སྟོང་ པ་ ཉིད་ ཡོངས་ 70
།_ ཚེ་ དང་ ལྡན་ པ་ གང་ 169
།_ ཚེ་ དང་ ལྡན་ པ་ ནི་ 102
།_ ཚེ་ དང་ ལྡན་ པ་ ཀུན་ 408
།_ ཚེ་ དང་ ལྡན་ པ་ དག་ 542
།_ ཚེ་ དང་ ལྡན་ པ་ རབ་ 597
།_ ཚེ་ དང་ ལྡན་ པ་ མ་ 57
།_ ཚེ་ དང་ ལྡན་ པ་ ཁྱོད་ 76
།_ ཚེ་ དང་ ལྡན་ པ་ དགའ་ 53
།_ ཚེ་ དང་ ལྡན་ པ་ ཉེ་ 45
།_ ཚེ་ དང་ ལྡན་ པ་ ཤ་ 893
།_ ཚེ་ དང་ ལྡན་ པ་ འོད་ 104
།_ ཚེ་ དང་ ལྡན་ པ་ འཆར་ 171
།_ ཚེ་ དང་ ལྡན་ པ་ མཽད་ 157
།_ ཚེ་ དང་ ལྡན་ པ་ ཤཱ་ 482
།_ ཇི་ སྐད་ སྨྲས་ པ་ དེ་ 74
།_ ཇི་ སྲིད་ འཚོའི་ བར་ དུ་ 53
།_ ཇི་ ལྟ་ བ་ བཞིན་ དུ་ 124
།_ ཇི་ ལྟར་ ནན་ ཏན་ དུ་ 93
།_ ཇི་ ལྟར་ ན་ ཤེས་ རབ་ 59
།_ ཇི་ ལྟར་ ན་ བྱང་ ཆུབ་ 127
།_ ཇི་ ལྟར་ དེ་ བཞིན་ གཤེགས་ 73
།_ ཇི་ ལྟར་ བསྟན་ པའི་ ཤེས་ 58
།_ ཇི་ ལྟར་ བཅོམ་ ལྡན་ འདས་ 71
།_ ཇི་ ལྟར་ ཤེས་ རབ་ ཀྱི་ 87
།_ ཇི་ ལྟར་ བྱང་ ཆུབ་ སེམས་ 165
།_ ཙམ་ པ་ ཀ་ དང་ །_ 47
།_ རྒ་ བ་ དང་ །_ ན་ 295
།_ རྒ་ བ་ དང་ །_ འཆི་ 50
།_ རྒ་ ཤི་ རྣམ་ པར་ དག་ 57
།_ རྒ་ ཤི་ ཡོངས་ སུ་ དག་ 46
།_ འཆི་ བ་ དང་ །_ མྱ་ 228
།_ མངོན་ སུམ་ དུ་ བྱས་ པའི་ 50
།_ མངོན་ པར་ ཤེས་ པ་ དང་ 347
།_ མངོན་ པར་ ཤེས་ པ་ རྣམས་ 624
།_ མངོན་ པར་ ཤེས་ པ་ རྣམ་ 59
།_ མངོན་ པར་ ཤེས་ པ་ ཡོངས་ 51
།_ མངོན་ པར་ ཤེས་ པ་ ལྔ་ 247
།_ མངོན་ པར་ ཤེས་ པ་ དྲུག་ 101
།_ མངོན་ པར་ རྫོགས་ པར་ སངས་ 67
།_ མངོན་ པར་ རྫོགས་ པར་ འཚང་ 58
།_ མངོན་ པར་ ཆགས་ པ་ མ་ 110
།_ མངོན་ པར་ ཆགས་ པ་ མྱེད་ 106
།_ མངོན་ པར་ ཆགས་ པར་ བྱེད་ 112
།_ མངོན་ པར་ ཆགས་ པར་ བྱ་ 222
།_ མངོན་ པར་ འདུ་ བྱེད་ པ་ 128
།_ མངོན་ པར་ འདུ་ མི་ བྱེད་ 63
།_ མངོན་ པར་ འདུ་ བྱ་ བ་ 309
།_ མངོན་ པར་ འདུ་ མཛད་ པ་ 68
།_ མངོན་ པར་ འདུ་ མཛད་ པར་ 62
།_ མངོན་ པར་ འདུ་ བགྱི་ བ་ 114
།_ མངོན་ པར་ རྟོགས་ པ་ དང་ 61
།_ མངོན་ པར་ རྟོགས་ པར་ བྱ་ 112
།_ མངོན་ པར་ ཞེན་ པར་ མི་ 76
།_ མངོན་ པར་ ཞེན་ པར་ མྱི་ 84
།_ བག་ ལ་ ཉལ་ བ་ དང་ 55
།_ བག་ ལ་ ཉལ་ དང་ །_ 115
།_ བག་ ཆགས་ ཀྱི་ མཚམས་ སྦྱོར་ 75
།_ ཡོད་ པ་ དང་ །_ མེད་ 42
།_ ཡོད་ པར་ གྱུར་ ཏམ །_ 101
།_ ཡོད་ པར་ འགྱུར་ རམ །_ 101
།_ རྣལ་ འབྱོར་ དང་ །_ ཡིད་ 44
།_ རྣལ་ འབྱོར་ སྤྱོད་ པ་ ནང་ 46
།_ བྱང་ གི་ སྒྲ་ མི་ སྙན་ 55
།_ བྱང་ ཆུབ་ ཀྱི་ སྙིང་ པོ་ 111
།_ བྱང་ ཆུབ་ ཀྱི་ ཕྱོགས་ ཀྱི་ 519
།_ བྱང་ ཆུབ་ ཀྱི་ སེམས་ འདི་ 190
།_ བྱང་ ཆུབ་ ཀྱི་ སེམས་ མི་ 42
།_ བྱང་ ཆུབ་ ཀྱི་ ལམ་ ལ་ 61
།_ བྱང་ ཆུབ་ ཀྱི་ ཡན་ ལག་ 1382
།_ བྱང་ ཆུབ་ ཏུ་ སེམས་ བསྐྱེད་ 92
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ དང་ 200
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ཐམས་ 579
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ལ་ 469
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ཆོས་ 63
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ དབུས་ 438
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ གང་ 297
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ཆེན་ 101
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ འདི་ 44
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ནི་ 212
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ཀུན་ 359
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ རྣམས་ 843
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ རྣམ་ 62
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ཞེས་ 434
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ཡང་ 210
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ དེ་ 505
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ བྱེ་ 102
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ མ་ 45
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ གཞན་ 43
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ལས་ 45
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ 5945
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ལག་ 50
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ བློ་ 58
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ རིན་ 42
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ཕྱི་ 442
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ སྔོན་ 453
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ སྤྱན་ 42
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ སྟོང་ 76
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ འཇམ་ 42
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ རྡོ་ 40
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ བྱམས་ 67
།_ བྱང་ ཆུབ་ སེམས་ དཔའ་ མྱེད་ 76
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ ཆོས་ 147
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ ཚོགས་ 104
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ གནས་ 64
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ དགེ་ 100
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ རྣམ་ 107
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ འཁོར་ 101
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ སྤྱོད་ 317
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ ལམ་ 64
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ ལུས་ 41
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ སྤྱད་ 63
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ ས་ 162
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ སྐྱོན་ 165
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ གོ་ 129
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ སྡེ་ 67
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ ཏིང་ 205
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ སྨོན་ 46
།_ བྱང་ ཆུབ་ སེམས་ དཔའི་ ཐེག་ 163
།_ བྱང་ ཆུབ་ སེམས་ དཔས་ སེམས་ 42
།_ བྱང་ ཆུབ་ སེམས་ དཔས་ ལུས་ 48
།_ བྱང་ ཤར་ དང་ །_ ཤར་ 47
།_ བྱང་ ཤར་ གྱི་ ཕྱོགས་ མཚམས་ 41
།_ གཞན་ ལ་ ཡང་ རྒྱ་ ཆེར་ 48
།_ གཞན་ ལ་ སྦྱིན་ པར་ མི་ 54
།_ གཞན་ ལ་ སྦྱིན་ པར་ བྱའོ 72
།_ གཞན་ དུ་ ན་ སེམས་ ཅན་ 43
།_ གཞན་ གྱི་ དོན་ ལྟ་ ཅི་ 47
།_ གཞན་ གྱི་ དྲིང་ མི་ འཇོག་ 44
།_ གཞན་ ཡང་ སྒྲོལ་ བ་ འདི་ 43
།_ གཞན་ ཡང་ དེ་ བཞིན་ གཤེགས་ 53
།_ གཞན་ ཡང་ དེ་ ལྟ་ བུ་ 145
།_ གཞན་ ཡང་ བྱང་ ཆུབ་ སེམས་ 86
།_ གཞན་ ཡང་ རྨི་ ལམ་ ན་ 40
།_ གཞན་ ཡང་ ཡོ་ བྱད་ ཀྱི་ 56
།_ གཞན་ དག་ ལ་ ཡང་ རྒྱ་ 161
།_ གཞན་ མ་ ཡིན་ པ་ དེ་ 319
།_ གཞན་ ཟེར་ བ་ དང་ །_ 64
།_ གཞན་ འཕྲུལ་ དབང་ བྱེད་ དང་ 86
།_ གཞན་ འཕྲུལ་ དབང་ བྱེད་ ཀྱི་ 153
།_ ལྟ་ བ་ ཕྱིན་ ཅི་ ལོག་ 40
།_ ལྟ་ བ་ བསྒྱུར་ ཏེ་ འདི་ 98
།_ བུ་ དང་ །_ བུ་ མོ་ 57
།_ བུ་ དང་ །_ ཆུང་ མ་ 52
།_ བུ་ མོས་ སྨྲས་ པ །_ 96
།_ བུ་ རམ་ ཤིང་ དང་ །_ 47
།_ ཕྱོགས་ གཅིག་ ཏུ་ འདུག་ གོ 66
།_ ཕྱོགས་ གཅིག་ ཏུ་ འཁོད་ དོ 86
།_ ཕྱོགས་ བཅུའི་ འཇིག་ རྟེན་ གྱི་ 136
།_ ཉན་ ཐོས་ དང་ །_ རང་ 584
།_ ཉན་ ཐོས་ དང་ རང་ སངས་ 322
།_ ཉན་ ཐོས་ ཀྱི་ དགེ་ འདུན་ 170
།_ ཉན་ ཐོས་ ཀྱི་ ས་ འམ 638
།_ ཉན་ ཐོས་ ཀྱི་ སའམ །_ 43
།_ ཉན་ ཐོས་ ཀྱི་ ཐེག་ པ་ 196
།_ ཉན་ ཐོས་ ཆེན་ པོ་ དེ་ 82
།_ ཉན་ ཐོས་ ཀྱིས་ འམ །_ 51
།_ དོན་ དམ་ པ་ སྟོང་ པ་ 758
།_ དོན་ བཟང་ པོ །_ ཚིག་ 55
།_ དོན་ དེ་ ལྟ་ བས་ ན་ 51
།_ དོན་ ཡོད་ པའི་ ཞགས་ པའི་ 65
།_ དོན་ ཉུང་ བའི་ དགེ་ སློང་ 87
།_ བྱ་ བ་ བྱས་ པ །_ 56
།_ བྱ་ རྒོད་ ཀྱི་ ཕུང་ པོའི་ 50
།_ ཐོག་ མ་ དང་ ཐ་ མ་ 807
།_ ཐོག་ མ་ མེད་ པའི་ དུས་ 41
།_ ཐོག་ མར་ དགེ་ བ །_ 41
།_ མར་ དང་ །_ ཞུན་ མར་ 69
།_ ཅི་ ཡང་ མེད་ པའི་ སྐྱེ་ 62
།_ ཅི་ ནས་ ཀྱང་ བདག་ བླ་ 64
།_ ཅི་ ནས་ ཀྱང་ སེམས་ ཅན་ 62
།_ ཅི་ ནས་ ཀྱང་ བློ་ རྣམ་ 129
།_ ཅི་ སྒྱུ་ མའི་ སྐྱེས་ བུ་ 52
།_ བརྗོད་ དུ་ མ་ མཆིས་ པ་ 68
།_ བཅུ་ པོ་ དེ་ དག་ ནི་ 53
།_ བཅུ་ གང་ ཞེ་ ན །_ 432
།_ བཅུ་ གང་ ཞེ་ ན་ འདི་ 129
།_ གདོན་ མི་ ཟ་ བར་ འབྱུང་ 45
།_ ལས་ ཀྱི་ རྣམ་ པར་ སྨིན་ 106
།_ ལས་ དགེ་ བ་ དང་ མི་ 57
།_ ལས་ རྣམས་ བསྐལ་ པ་ བརྒྱར་ 46
།_ ལས་ བྱེད་ པ་ དང་ །_ 69
།_ ལས་ དེ་ དང་ རྒྱུ་ འཐུན་ 60
།_ ལས་ གཅིག་ ཏུ་ ངེས་ པར་ 44
།_ ལས་ གཅིག་ ཏུ་ དཀར་ བ་ 48
།_ ལས་ དེའི་ རྣམ་ པར་ སྨིན་ 88
།_ བསྒྲུབ་ པ་ དང་ །_ འབད་ 45
།_ ཁ་ ན་ མ་ ཐོ་ བ་ 294
།_ ཁ་ ཟེར་ བར་ བྱེད་ པའི་ 137
།_ ཁ་ དོག་ བཟང་ པོ་ རྒྱས་ 50
།_ ཁ་ ཏོན་ དུ་ བྱ་ བའི་ 49
།_ ཁ་ ཏོན་ དུ་ མྱི་ བྱེད 44
།_ ཁ་ ཏོན་ བྱེད་ པའི་ རྒྱུ་ 72
།_ ཁ་ ཏོན་ བྱེད་ པ་ དང་ 65
།_ སེམས་ དང་ པོ་ བསྐྱེད་ པ་ 78
།_ སེམས་ ཀྱི་ རྣམ་ པ་ གཞན་ 55
།_ སེམས་ ཀྱི་ རྒྱུད་ གཅིག་ ཏུ་ 42
།_ སེམས་ ཤིན་ ཏུ་ རྣམ་ པར་ 42
།_ སེམས་ དེ་ ཡང་ ཡང་ དག་ 48
།_ སེམས་ ཅན་ དང་ །_ སྲོག་ 67
།_ སེམས་ ཅན་ ཐམས་ ཅད་ དང་ 66
།_ སེམས་ ཅན་ ཐམས་ ཅད་ ལ་ 930
།_ སེམས་ ཅན་ ཐམས་ ཅད་ ཀྱི་ 1041
།_ སེམས་ ཅན་ ཐམས་ ཅད་ ཀྱིས་ 130
།_ སེམས་ ཅན་ ཐམས་ ཅད་ ཡོངས་ 210
།_ སེམས་ ཅན་ ཐམས་ ཅད་ ཀྱང་ 77
།_ སེམས་ ཅན་ དུ་ ལྟ་ བ་ 49
།_ སེམས་ ཅན་ དུ་ འདུ་ ཤེས་ 40
།_ སེམས་ ཅན་ མེད་ པ་ དང་ 54
།_ སེམས་ ཅན་ འདི་ དག་ ནི་ 75
།_ སེམས་ ཅན་ གྱི་ ཁམས་ ཐམས་ 76
།_ སེམས་ ཅན་ གྱི་ བསམ་ པ་ 42
།_ སེམས་ ཅན་ རྣམས་ ལ་ ཆོས་ 76
།_ སེམས་ ཅན་ རྣམས་ ཀྱི་ དོན་ 61
།_ སེམས་ ཅན་ རྣམས་ ཡོངས་ སུ་ 235
།_ སེམས་ ཅན་ རྣམས་ ཀྱང་ ཡོངས་ 51
།_ སེམས་ ཅན་ རྣམ་ པར་ དག་ 118
།_ སེམས་ ཅན་ དེ་ དག་ ཐམས་ 81
།_ སེམས་ ཅན་ དེ་ དག་ ལ་ 69
།_ སེམས་ ཅན་ དེ་ དག་ གི་ 69
།_ སེམས་ ཅན་ དེ་ དག་ ཀྱང་ 79
།_ སེམས་ ཅན་ ཡོངས་ སུ་ དག་ 113
།_ སེམས་ ཅན་ ཡོངས་ སུ་ སྨིན་ 307
།_ སེམས་ ཅན་ ཇི་ སྙེད་ ཅིག་ 96
།_ སེམས་ ཅན་ དཔག་ ཏུ་ མེད་ 157
།_ སེམས་ ཅན་ ཕ་ རོལ་ དང་ 51
།_ སེམས་ ཅན་ དམྱལ་ བ་ དང་ 196
།_ སེམས་ ཅན་ དམྱལ་ བ་ པ་ 54
།_ སེམས་ ཅན་ དམྱལ་ བ་ ཆེན་ 127
།_ སེམས་ འཁྲུགས་ པ་ དང་ །_ 156
།_ སེམས་ ཞུ་ མ་ པར་ འགྱུར 47
།_ རྟ་ པའི་ ཚོགས་ དང་ །_ 50
།_ རྟ་ རིན་ པོ་ ཆེ་ དང་ 43
།_ བརྒྱ་ བྱིན་ དང་ །_ ཚངས་ 198
།_ བརྒྱ་ བྱིན་ གྱིས་ གསོལ་ པ 64
།_ བརྒྱ་ སྟོང་ གི་ ཆ་ དང་ 51
།_ ཆེ་ བ་ དང་ །_ ཆུང་ 44
།_ ངག་ དང་ །_ ཡིད་ ཀྱི་ 106
།_ ངག་ དང་ །_ ཡིད་ ཀྱིས་ 57
།_ ངག་ གི་ ལས་ དང་ །_ 41
།_ ནམ་ རྣམ་ པ་ ཐམས་ ཅད་ 52
།_ ནམ་ མཁའ་ དང་ ལག་ མཐིལ་ 117
།_ ནམ་ མཁའ་ མཐའ་ ཡས་ སྐྱེ་ 171
།_ ནམ་ མཁའ་ གང་ ཡིན་ པ་ 54
།_ ནམ་ མཁའ་ ཞེས་ མྱིང་ དུ་ 97
།_ ནམ་ མཁའ་ ཚད་ མྱེད་ པའི་ 93
།_ ནམ་ མཁའ་ དཔག་ པ་ ནི་ 104
།_ ནམ་ མཁའ་ དཔག་ ཏུ་ མྱེད་ 92
།_ ནམ་ མཁའ་ ལྡིང་ དང་ །_ 732
།_ ནམ་ མཁའ་ ལྡིང་ གི་ དབང་ 53
།_ ནམ་ མཁའ་ ལྡིང་ རྣམས་ དང་ 136
།_ ནམ་ མཁའི་ ཚད་ ནི་ དམྱིགས་ 101
།_ ནམ་ མཁའི་ ཁམས་ དང་ །_ 103
།_ ནམ་ མཁའི་ ཁམས་ རྣམ་ པར་ 49
།_ ནམ་ མཁའི་ ཁམས་ ཡོངས་ སུ་ 60
།_ བྲལ་ བ་ ཡང་ མ་ ཡིན་ 417
།_ བྲལ་ བ་ ཡང་ མ་ ཡིན 56
།_ བཙུན་ པ་ ཀུན་ དགའ་ བོ་ 75
།_ བཙུན་ པ་ དགེ་ སློང་ གིས་ 129
།_ བཙུན་ པ་ རབ་ འབྱོར་ དེ་ 78
།_ བཙུན་ པ་ མཐོང་ ལགས་ སོ 46
།_ བཙུན་ པ་ བཅོམ་ ལྡན་ འདས་ 925
།_ བཙུན་ པ་ ཚེ་ དང་ ལྡན་ 73
།_ བཙུན་ པ་ རེ་ ཞིག་ དགེ་ 57
།_ བཙུན་ པ་ ཤ་ ར་ དྭ་ 218
།_ བཙུན་ པ་ འོད་ སྲུང་ ཆེན་ 80
།_ བཙུན་ པ་ མད་ དོ །_། 128
།_ བཙུན་ པ་ ཤཱ་ རིའི་ བུ་ 151
།_ གསོ་ བ་ དང་ །_ སྐྱེས་ 53
།_ གསོ་ བ་ རྣམ་ པར་ དག་ 110
།_ གསོ་ བ་ ཡོངས་ སུ་ དག་ 109
།_ བཞི་ པོ་ དེ་ དག་ གོ 72
།_ བཞི་ གང་ ཞེ་ ན །_ 656
།_ བཞི་ མདོ་ དང་ །_ སུམ་ 43
།_ ལྔ་ གང་ ཞེ་ ན །_ 350
།_ གལ་ ཏེ་ དགེ་ འདུན་ གྱི་ 92
།_ གལ་ ཏེ་ ངེས་ པར་ འབྱུང་ 54
།_ གལ་ ཏེ་ མི་ རྟག་ པར་ 50
།_ གལ་ ཏེ་ མི་ གཏོང་ ན་ 113
།_ གལ་ ཏེ་ དེ་ བཞིན་ གཤེགས་ 46
།_ གལ་ ཏེ་ དེ་ ལྟ་ ན་ 80
།_ གལ་ ཏེ་ ཕྱིར་ རྒོལ་ བར་ 42
།_ གལ་ ཏེ་ བཅོམ་ ལྡན་ འདས་ 63
།_ གལ་ ཏེ་ བྱང་ ཆུབ་ སེམས་ 54
།_ གལ་ ཏེ་ ཉེས་ དམིགས་ སུ་ 51
།_ དུས་ གསུམ་ མཉམ་ པ་ ཉིད་ 47
།_ དུས་ མ་ ཡིན་ པར་ འཆི་ 126
།_ བཟོད་ པའི་ ཕ་ རོལ་ དུ་ 395
།_ བཟོད་ པའི་ ཕ་ རོལ་ ཏུ་ 1103
།_ བཟོད་ པ་ དང་ །_ བརྩོན་ 191
།_ གསོལ་ བ་ དང་ བཞིའི་ ལས་ 58
།_ གསོལ་ པ་ བཅོམ་ ལྡན་ འདས་ 94
།_ གསོལ་ པ །_ བཅོམ་ ལྡན་ 1775
།_ གསོལ་ པ །_ བཙུན་ པ་ 101
།_ ལྟུང་ བ་ དང་ །_ རྣམ་ 50
།_ ལྟུང་ བ་ མེད་ དོ །_། 58
།_ ལྟུང་ བར་ བྱེད་ པའོ །_། 83
།_ ལྟུང་ བྱེད་ དོ །_། བཙུན་ 42
།_ ལྟུང་ བའོ །_། བཙུན་ པ་ 159
།_ ལྟུང་ བའོ །_། བསྙེན་ པར་ 71
།_ དེས་ འདི་ སྐད་ ཅེས་ སྨྲས་ 93
།_ དེས་ ན་ ལྟུང་ བྱེད་ དོ་ 86
།_ དེས་ ཐོས་ པ་ ལས་ བྱུང་ 640
།_ དེས་ ཇི་ ལྟར་ གྱུར་ པ་ 60
།_ དེས་ སྨྲས་ པ །_ འཕགས་ 110
།_ དེས་ སྨྲས་ པ །_ བདག་ 55
།_ དེས་ སྨྲས་ པ །_ ཤེས་ 41
།_ དེས་ སྨྲས་ པ །_ ཚེ་ 55
།_ དེས་ སྨྲས་ པ །_ བུ་ 63
།_ དེས་ སྨྲས་ པ །_ ལྷ་ 77
།_ དེས་ བདེན་ པ་ མཐོང་ ནས་ 48
།_ རིག་ པ་ དང་ །_ མངོན་ 46
།_ རིག་ པ་ དང་ ཞབས་ སུ་ 58
།_ རིག་ པ་ དང་ མངོན་ པར་ 53
།_ རིག་ པས་ སྒོ་ ངའི་ སྦུབས་ 90
།_ ལན་ གསུམ་ བསྐོར་ བ་ བྱས་ 65
།_ ལན་ ཅིག་ ཕྱིར་ འོང་ བ་ 233
།_ ལན་ ཅིག་ ཕྱིར་ འོང་ བའི་ 564
།_ དྲན་ པ་ དང་ ཤེས་ བཞིན་ 40
།_ དྲན་ པ་ ཉེ་ བར་ གཞག་ 1163
།_ བརྫུན་ དུ་ སྨྲ་ བ་ དང་ 84
།_ གཅོད་ དུ་ འཇུད་ ན་ ལྟུང་ 50
།_ གཅོད་ དུ་ འཇུད་ ན་ ཉེས་ 50
།_ རེག་ པའི་ རྐྱེན་ གྱིས་ ཚོར་ 45
།_ རེག་ པ་ དང་ །_ ཚོར་ 61
།_ རེག་ པ་ རྣམ་ པར་ དག་ 54
།_ རེག་ པ་ ཡོངས་ སུ་ དག་ 46
།_ རེག་ རྣམ་ པར་ དག་ པ་ 87
།_ རེག་ རྣམ་ པར་ དག་ པ 75
།_ རེག་ རྣམ་ པར་ དག་ པས 63
།_ རེག་ བྱ་ དང་ །_ ཆོས་ 98
།_ གླེང་ གཞི་ འདི་ དང་ །_ 122
།_ གླེང་ གཞི་ མཉན་ དུ་ ཡོད་ 84
།_ སྤྱོད་ པ་ པ་ དང་ །_ 43
།_ རྐུ་ ཐབས་ སུ་ གནས་ པ་ 43
།_ ངོ་ བོ་ ཉིད་ མེད་ པ་ 60
།_ ངོ་ བོ་ ཉིད་ ཀྱིས་ སྟོང་ 81
།_ ངོ་ བོ་ ཉིད་ སྟོང་ པ་ 726
།_ ངོ་ ཚ་ ཤེས་ པ་ དང་ 47
།_ ཐ་ མར་ དགེ་ བ །_ 65
།_ ཐ་ དད་ པ་ དང་ །_ 54
།_ དུད་ འགྲོ་ དང་ །_ ཡི་ 202
།_ དུད་ འགྲོའི་ སྐྱེ་ གནས་ དང་ 178
།_ དུད་ འགྲོའི་ སྐྱེ་ གནས་ སུ་ 59
།_ སྐྱེས་ པ་ དང་ །_ བུད་ 73
།_ སྐྱེས་ པ་ དང་ །_ ཁྱེའུ་ 51
།_ སྐྱེས་ བུ་ འདུལ་ བའི་ ཁ་ 292
།_ སྐྱེས་ བུ་ དང་ །_ གང་ 61
།_ སྐྱེས་ བུ་ དམ་ པ་ དེ་ 46
།_ སྐྱེས་ བུ་ དམ་ པ་ ཁྱོད་ 63
།_ སྐྱེས་ བུ་ ཆེན་ པོའི་ མཚན་ 95
།_ སྐྱེས་ བུ་ རྣམ་ པར་ དག་ 110
།_ སྐྱེས་ བུ་ ཡོངས་ སུ་ དག་ 116
།_ སྐྱེས་ བུ་ གདུལ་ བྱའི་ ཁ་ 97
།_ རུང་ བ་ མ་ ཡིན་ པ 107
།_ འདུག་ པ་ དང་ །_ ཉལ་ 63
།_ གྲངས་ དང་ །_ ཆ་ དང་ 82
།_ གྲངས་ མེད །_ བསམ་ གྱིས་ 42
།_ བློན་ པོ་ ཆེན་ པོ་ རྣམས་ 114
།_ བློན་ པོ་ རྣམས་ ཀྱིས་ སྨྲས་ 43
།_ ཀྱེ་ རྒྱལ་ བའི་ སྲས་ འདི་ 48
།_ ཀྱེ་ རྒྱལ་ བའི་ སྲས་ དག་ 188
།_ ཀྱེ་ རྒྱལ་ བའི་ སྲས་ དེ་ 79
།_ ཀྱེ་ རྒྱལ་ བའི་ སྲས་ དག 106
།_ ཀྱེ་ རྒྱལ་ བའི་ སྲས་ བྱང་ 43
།_ ཀྱེ་ རྒྱལ་ བའི་ སྲས་ བཅུ་ 55
