༄༅ རྒྱ་ གར་ སྐད་ དུ །_ ཨཱརྱ་ 185
།_ འཇིག་ རྟེན་ མཁྱེན་ པ །_ སྐྱེས་ 376
།_ འཇིག་ རྟེན་ པ་ དང་ །_ འཇིག་ 76
།_ འཇིག་ རྟེན་ ལ་ སྙིང་ བརྩེ་ བ་ 71
།_ འཇིག་ རྟེན་ ལ་ ཐུགས་ བརྩེ་ བ་ 47
།_ འཇིག་ རྟེན་ གྱི་ ཆགས་ སེམས་ དང་ 58
།_ འཇིག་ རྟེན་ གྱི་ ཁམས་ རྒྱ་ མཚོ་ 63
།_ འཇིག་ རྟེན་ གྱི་ ཁམས་ ཐམས་ ཅད་ 274
།_ འཇིག་ རྟེན་ གྱི་ ཁམས་ མི་ མཇེད་ 90
།_ འཇིག་ རྟེན་ གྱི་ ཁམས་ དེ་ དག་ 89
།_ འཇིག་ རྟེན་ གྱི་ ཁམས་ བྱེ་ བ་ 43
།_ འཇིག་ རྟེན་ གྱི་ ཁམས་ གྲངས་ མེད་ 55
།_ འཇིག་ རྟེན་ ལས་ འདས་ པའི་ ཆོས་ 93
།_ འཇིག་ རྟེན་ ལས་ འདས་ པ་ དང་ 58
།_ འཇིག་ རྟེན་ སྐྱོང་ བ་ དང་ །_ 68
།_ རྟེན་ ཅིང་ འབྲེལ་ བར་ འབྱུང་ བ་ 142
།_ རྟེན་ ཅིང་ འབྲེལ་ པར་ འབྱུང་ བ་ 302
།_ གསུམ་ པ་ དང་ །_ བཞི་ པ་ 64
།_ གསུམ་ གང་ ཞེ་ ན །_ འདི་ 51
།_ དམ་ པའི་ ཆོས་ ཡོངས་ སུ་ གཟུང་ 40
།_ དམ་ པའི་ ཆོས་ ཡོངས་ སུ་ འཛིན་ 56
།_ དམ་ པའི་ ཆོས་ པད་ མ་ དཀར་ 41
།_ ཆོས་ དང་ །_ དགེ་ སློང་ གི་ 50
།_ ཆོས་ དང་ །_ དགེ་ འདུན་ དང་ 50
།_ ཆོས་ དང་ །_ དགེ་ འདུན་ ལ་ 113
།_ ཆོས་ ཐམས་ ཅད་ ཀྱི་ རང་ བཞིན་ 50
།_ ཆོས་ ཐམས་ ཅད་ ཀྱི་ མདོ་ དང་ 126
།_ ཆོས་ ཐམས་ ཅད་ གང་ ཡིན་ པ་ 40
།_ ཆོས་ ཐམས་ ཅད་ ཡོངས་ སུ་ བཟུང་ 41
།_ ཆོས་ ཐམས་ ཅད་ མཉམ་ པ་ ཉིད་ 70
།_ ཆོས་ ཐམས་ ཅད་ སྟོང་ པ་ ཉིད་ 745
།_ ཆོས་ ཀྱི་ གནས་ ཉིད་ དང་ །_ 159
།_ ཆོས་ ཀྱི་ རྣམ་ གྲངས་ འདི་ ལ་ 41
།_ ཆོས་ ཀྱི་ འཁོར་ ལོ་ རབ་ ཏུ་ 48
།_ ཆོས་ ཀྱི་ འཁོར་ ལོ་ བསྐོར་ བ་ 69
།_ ཆོས་ ཀྱི་ འདུ་ ཤེས་ ཅན་ མཐུན་ 103
།_ ཆོས་ ཀྱི་ དབྱིངས་ དང་ །_ ཆོས་ 178
།_ ཆོས་ ཀྱི་ དབྱིངས་ ཀྱང་ གཞན །_ 320
།_ ཆོས་ སུ་ བཏགས་ པ་ དེ་ ལ་ 68
།_ ཆོས་ གང་ ཡོངས་ སུ་ འཛིན་ པར་ 111
།_ ཆོས་ རྣམ་ པར་ དག་ པ་ དང་ 60
།_ ཆོས་ རྣམ་ པར་ དག་ པ །_ 76
།_ ཆོས་ རྣམ་ པར་ དག་ པས །_ 65
།_ ཆོས་ ཉིད་ དང་ །_ ཆོས་ ཀྱི་ 170
།_ ཆོས་ དེ་ གཉིས་ ལས་ གཞན་ དུ་ 50
།_ ཆོས་ མཉན་ པའི་ ཕྱིར་ བཅོམ་ ལྡན་ 46
།_ ཆོས་ བཞི་ པོ་ དེ་ དག་ དང་ 41
།_ ཆོས་ སྐྱོན་ མེད་ པ་ ཉིད་ དང་ 111
།_ ཆོས་ སྐྱོན་ མྱེད་ པ་ ཉིད་ དང་ 68
།_ སྒྲ་ དང་ །_ དྲི་ དང་ །_ 181
།_ སྒྲ་ རྣམ་ པར་ དག་ པ་ དང་ 59
།_ སྒྲ་ རྣམ་ པར་ དག་ པ །_ 73
།_ སྒྲ་ རྣམ་ པར་ དག་ པས །_ 63
།_ སྒྲ་ བརྙན་ ལ་ རློམ་ སེམས་ སུ་ 104
།_ སྒྲ་ བརྙན་ བདག་ གི་ ཞེས་ རློམ་ 102
།_ སྒྲ་ བརྙན་ གྱིས་ རློམ་ སེམས་ སུ་ 103
།_ སེང་ གེ་ དང་ །_ སྟག་ དང་ 43
།_ དཀོན་ མཆོག་ གསུམ་ ལ་ ཕྱག་ འཚལ་ 99
།_ ཚངས་ པ་ དང་ །_ འཇིག་ རྟེན་ 218
།_ ཚངས་ པ་ དང་ །_ ཁྱབ་ འཇུག་ 58
།_ ཚངས་ པ་ དང་ བཅས་ པ་ དང་ 45
།_ ཚངས་ པ་ ཀུན་ འཁོར་ དང་ །_ 56
།_ ཚངས་ པ་ མཚུངས་ པར་ སྤྱོད་ པ་ 60
།_ ཚངས་ ཆེན་ དང་ །_ སྣང་ བ་ 45
།_ ཚངས་ ལྷ་ ཉེ་ ཕན་ དང་ །_ 59
།_ དབང་ པོ་ དང་ །_ སྟོབས་ དང་ 191
།_ དབང་ པོ་ དང་ ཉེ་ དབང་ དང་ 77
།_ དབང་ པོ་ རྣམས་ དང་ །_ སྟོབས་ 168
།_ དབང་ པོ་ ལྔ་ དང་ །_ སྟོབས་ 175
།_ དབང་ ཕྱུག་ ཆེན་ པོ་ དང་ །_ 104
།_ ནོར་ དང་ །_ འབྲུ་ དང་ །_ 88
།_ ནོར་ མང་ བ །_ ལོངས་ སྤྱོད་ 48
།_ ནོར་ བུ་ དང་ །_ མུ་ ཏིག་ 165
།_ ནོར་ བུ་ རིན་ པོ་ ཆེ་ དང་ 68
།_ ནོར་ བུ་ རིན་ པོ་ ཆེ་ ཆེན་ 61
།_ སྡུག་ པ་ འམ་ མྱི་ སྡུག་ པར་ 82
།_ སྡུག་ བསྔལ་ བ་ དང་ །_ བདག་ 79
།_ སྡུག་ བསྔལ་ བ་ དང་ །_ ཡིད་ 362
།_ སྡུག་ བསྔལ་ བ་ དང་ །_ སྟོང་ 111
།_ སྡུག་ བསྔལ་ བ་ ཡང་ མ་ ཡིན་ 46
།_ སྡུག་ བསྔལ་ བ་ འམ །_ བདག་ 124
།_ སྡུག་ བསྔལ་ ཆེན་ པོ་ ལས་ ཡོངས་ 104
།_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བ་ དང་ 121
།_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བ་ ནི་ 55
།_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ གནས་ 105
།_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ ཡོངས་ 83
།_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ མྱི་ 70
།_ སྡུག་ བསྔལ་ འགོག་ པར་ འགྲོ་ བའི་ 40
།_ མཐའ་ ལས་ འདས་ པ་ སྟོང་ པ་ 873
།_ མཐའ་ ཡས་ ཀུན་ ཏུ་ མཐའ་ ཡས་ 102
།_ འགྲོ་ བ་ ཐམས་ ཅད་ ཡོངས་ སུ་ 45
།_ འགྲོ་ བ་ གཞན་ དུ་ གནས་ པ་ 80
།_ བསླབ་ པ་ ལ་ ཡོ་ བྱད་ བསྙུངས་ 42
།_ བསླབ་ པ་ བཅའ་ བའི་ བར་ དུ་ 164
།_ འཕགས་ པའི་ ལམ་ ཡན་ ལག་ བརྒྱད་ 1129
།_ འཕགས་ པའི་ བདེན་ པ་ དང་ །_ 137
།_ འཕགས་ པའི་ བདེན་ པ་ རྣམས་ དང་ 109
།_ འཕགས་ པའི་ བདེན་ པ་ རྣམས་ ལ་ 46
།_ འཕགས་ པའི་ བདེན་ པ་ རྣམ་ པར་ 54
།_ འཕགས་ པའི་ བདེན་ པ་ ཡོངས་ སུ་ 47
།_ འཕགས་ པའི་ བདེན་ པ་ བཞི་ དང་ 111
།_ འཕགས་ པ་ ལ་ སྐུར་ པ་ འདེབས་ 49
།_ འཕགས་ པ་ སྤྱན་ རས་ གཟིགས་ དབང་ 191
།_ འཕགས་ མའི་ དགེ་ འདུན་ ཕུ་ ནུ་ 42
།_ དབུས་ གང་ ཡིན་ པ་ དེ་ ཐམས་ 104
།_ དབུས་ ཀྱང་ གཞན་ མ་ ཡིན་ ནོ 116
།_ དབུས་ མྱི་ དམྱིགས་ སོ །_། ཀཽ་ 75
།_ དབུས་ མྱི་ དམྱིགས་ ཏེ །_ མཐའ་ 100
།_ དབུས་ མྱི་ དམྱིགས་ ཏེ །_ སྟོང་ 98
།_ སུ་ ལ་ བསྟན་ པ་ དེ་ དག་ 98
།_ སུ་ ནི་ འཕགས་ པའི་ ནོར་ བདུན་ 42
།_ སུ་ ནི་ དགེ་ བའི་ རྩ་ བ་ 115
།_ སུ་ མུ་ རུ །_ སུ་ མུ་ 47
།_ བར་ དུ་ དགེ་ བ །_ ཐ་ 71
།_ སངས་ རྒྱས་ དང་ །_ ཆོས་ དང་ 123
།_ སངས་ རྒྱས་ དང་ །_ བྱང་ ཆུབ་ 198
།_ སངས་ རྒྱས་ དང་ བྱང་ ཆུབ་ སེམས་ 508
།_ སངས་ རྒྱས་ ཐམས་ ཅད་ ཀྱི་ ཆོས་ 41
།_ སངས་ རྒྱས་ ལ་ སོགས་ པ་ དགེ་ 48
།_ སངས་ རྒྱས་ ཀྱི་ ཆོས་ ཐམས་ ཅད་ 317
།_ སངས་ རྒྱས་ ཀྱི་ ཆོས་ རྣམས་ ལ་ 42
།_ སངས་ རྒྱས་ ཀྱི་ ཆོས་ མ་ འདྲེས་ 1855
།_ སངས་ རྒྱས་ ཀྱི་ རྣམ་ པར་ འཕྲུལ་ 44
།_ སངས་ རྒྱས་ ཀྱི་ ཞིང་ ཐམས་ ཅད་ 128
།_ སངས་ རྒྱས་ ཀྱི་ ཞིང་ གི་ ཡོན་ 56
།_ སངས་ རྒྱས་ ཀྱི་ ཞིང་ ཡང་ ཡོངས་ 53
།_ སངས་ རྒྱས་ ཀྱི་ ཞིང་ དེ་ དག་ 55
།_ སངས་ རྒྱས་ ཀྱི་ ཞིང་ ཡོངས་ སུ་ 386
།_ སངས་ རྒྱས་ ཀྱི་ ཞིང་ ནས་ སངས་ 68
།_ སངས་ རྒྱས་ ཀྱི་ ཞིང་ བརྗོད་ དུ་ 54
།_ སངས་ རྒྱས་ ཀྱི་ བྱིན་ གྱི་ རླབས་ 104
།_ སངས་ རྒྱས་ བྱེ་ བ་ ཁྲག་ ཁྲིག་ 71
།_ སངས་ རྒྱས་ མང་ པོ་ ལ་ བསྙེན་ 41
།_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ དང་ 46
།_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ ལ་ 179
།_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ འཇིག་ 64
།_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ ཀྱི་ 91
།_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ གང་ 147
།_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ རྣམས་ 827
།_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ ཀྱིས་ 175
།_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ དེ་ 340
།_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ དཔག་ 49
།_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ འོད་ 65
།_ སངས་ རྒྱས་ རྗེས་ སུ་ དྲན་ པ་ 60
།_ རྒྱས་ པ་ དང་ །_ བདེ་ བ་ 106
།_ གང་ དང་ ཡང་ བྲལ་ བས་ མ་ 1472
།_ གང་ ལ་ རང་ བཞིན་ མྱེད་ པ་ 106
།_ གང་ དུ་ ཡང་ འགྲོ་ བ་ མེད 201
།_ གང་ དུ་ ཡང་ འགྲོ་ བ་ མྱེད 518
།_ གང་ ན་ ཡང་ གནས་ པ་ མེད་ 52
།_ གང་ རྟག་ པ་ འམ་ མྱི་ རྟག་ 90
།_ གང་ མ་ བྱུང་ བ་ དེ་ ནི་ 145
།_ གང་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 61
།_ གང་ གིས་ ཡོངས་ སུ་ གཟུང་ བར་ 111
།_ གང་ གིས་ སྲོག་ གཅོད་ པ་ དང་ 63
།_ གང་ ཟག་ རྣམ་ པར་ དག་ པ་ 111
།_ གང་ ཟག་ ཏུ་ ལྟ་ བ་ དང་ 41
།_ གང་ ཟག་ ཡོངས་ སུ་ དག་ པ་ 103
།_ གང་ ཟག་ ཕ་ རོལ་ གྱི་ སེམས་ 44
།_ གང་ གཱའི་ ཀླུང་ གི་ བྱེ་ མ་ 55
།_ གང་ ཁོངས་ སུ་ ཆུད་ པ་ མ་ 138
།_ ཆེན་ པོ་ སྟོང་ པ་ ཉིད་ དང་ 230
།_ ཆེན་ པོ་ སྟོང་ པ་ ཉིད་ ལ་ 69
།_ ཆེན་ པོ་ སྟོང་ པ་ ཉིད་ ཀྱི་ 55
།_ ཆེན་ པོ་ སྟོང་ པ་ ཉིད་ རྣམ་ 51
།_ ཆེན་ པོ་ སྟོང་ པ་ ཉིད་ ཡོངས་ 70
།_ གནས་ དང་ གནས་ མ་ ཡིན་ པ་ 41
།_ གནས་ པ་ ལས་ གཞན་ དུ་ འགྱུར་ 125
།_ གནས་ སྦྱིན་ པར་ བྱ །_ དགེ་ 44
།_ སྙིང་ པོ་ མ་ མཆིས་ པ་ ཉིད་ 112
།_ སྙིང་ རྗེ་ དང་ །_ དགའ་ བ་ 102
།_ སྙིང་ རྗེ་ ཆེན་ པོ་ དང་ །_ 430
།_ སྙིང་ རྗེ་ ཆེན་ པོ་ དང་ ལྡན་ 59
།_ སྙིང་ རྗེ་ ཆེན་ པོ་ རྣམ་ པར་ 54
།_ སྙིང་ རྗེ་ ཆེན་ པོ་ ཡོངས་ སུ་ 102
།_ འདི་ སྐད་ དུ་ གང་ དེ་ ལྟར་ 107
།_ འདི་ སྐད་ དུ་ ཚུར་ རིགས་ ཀྱི་ 57
།_ འདི་ སྐད་ ཅེས་ གསོལ་ ཏོ །_། 41
།_ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། 65
།_ འདི་ ལ་ བྱང་ ཆུབ་ སེམས་ དཔའ་ 156
།_ འདི་ ལ་ འགྱོད་ པར་ མི་ བྱའོ 59
།_ འདི་ ནི་ འཕགས་ མ་ སྒྲོལ་ མ་ 118
།_ འདི་ ནི་ སངས་ རྒྱས་ བཅོམ་ ལྡན་ 99
།_ འདི་ ནི་ དེ་ བས་ ཆེས་ བསོད་ 47
།_ འདི་ ནི་ དེ་ བཞིན་ གཤེགས་ པའི་ 52
།_ འདི་ ནི་ དེ་ བཞིན་ གཤེགས་ པ་ 46
།_ འདི་ ནི་ བྱང་ ཆུབ་ སེམས་ དཔའ་ 175
།_ འདི་ ནི་ བྱང་ ཆུབ་ སེམས་ དཔའི་ 70
།_ འདི་ དག་ ནི་ བྱང་ ཆུབ་ སེམས་ 41
།_ འདི་ ཇི་ ལྟར་ གཟུང་ བར་ བགྱི 73
།_ འདི་ ལྟ་ སྟེ །_ ཆོས་ ཐམས་ 70
།_ འདི་ ལྟ་ སྟེ །_ སངས་ རྒྱས་ 96
།_ འདི་ ལྟ་ སྟེ །_ དགེ་ སློང་ 43
།_ འདི་ ལྟ་ སྟེ །_ དེ་ བཞིན་ 64
།_ འདི་ ལྟ་ སྟེ །_ བདག་ ནི་ 67
།_ འདི་ ལྟ་ སྟེ །_ ཤེས་ རབ་ 48
།_ འདི་ ལྟ་ སྟེ །_ བྱང་ ཆུབ་ 99
།_ འདི་ ལྟ་ སྟེ །_ ཉན་ ཐོས་ 43
།_ འདི་ ལྟ་ སྟེ །_ སེམས་ ཅན་ 120
།_ འདི་ ལྟ་ སྟེ །_ སྦྱིན་ པའི་ 40
།_ འདི་ ལྟ་ སྟེ །_ དཔེར་ ན་ 100
།_ འདི་ ལྟ་ སྟེ་ དཔེར་ ན །_ 285
།_ འདི་ ལྟར་ ཆོས་ ཐམས་ ཅད་ ནི་ 42
།_ འདི་ ལྟར་ དེ་ ལ་ མངོན་ པར་ 103
།_ འདི་ ལྟར་ ཡོངས་ སུ་ བརྟག་ པར་ 70
།_ འདི་ ལྟར་ ཤེས་ རབ་ ཀྱི་ ཕ་ 65
།_ འདི་ ལྟར་ བྱང་ ཆུབ་ སེམས་ དཔའ་ 117
།_ འདི་ ལྟར་ ལས་ དགེ་ བ་ དང་ 43
།_ འདི་ ལྟར་ དེས་ གང་ ལ་ བསླབ་ 135
།_ འདི་ ལྟར་ ཅང་ མི་ གསུང་ བས་ 72
།_ འདི་ ལྟར་ དཔེར་ ན་ ནམ་ མཁའ་ 88
།_ འདི་ ལྟར་ མྱིང་ གང་ ཡིན་ པ་ 45
།_ རྒྱལ་ པོ་ དང་ །_ བློན་ པོ་ 56
།_ རྒྱལ་ པོ་ ཆེན་ པོ་ བཞི་ དང་ 73
།_ རྒྱལ་ ཆེན་ བཞིའི་ རིས་ ཀྱི་ ལྷ་ 104
།_ རྒྱལ་ བུ་ རྒྱལ་ བྱེད་ ཀྱི་ ཚལ་ 115
།_ རྒྱལ་ པོས་ ཀྱང་ མ་ བགྱིས །_ 48
།_ རྒྱལ་ པོས་ སྨྲས་ པ །_ གསོས་ 40
།_ རྒྱལ་ མཚན་ དང་ །_ བ་ དན་ 568
།_ ཀུན་ འབྱུང་ བ་ དང་ །_ འགོག་ 58
།_ ཀུན་ ཆུབ་ པར་ བྱེད་ པ་ དང་ 200
།_ ཀུན་ ཆུབ་ པར་ བྱེད་ དམ །_ 45
།_ ཀུན་ ཆུབ་ པར་ གྱིས་ ཤིག །_ 49
།_ ཀུན་ ཆུབ་ པར་ བགྱིད་ པ་ དང་ 72
།_ ཀུན་ ནས་ ཉོན་ མོངས་ པ་ དང་ 95
།_ ཀུན་ ནས་ ཉོན་ མོངས་ པ་ མེད་ 145
།_ ཀུན་ ནས་ ཉོན་ མོངས་ པ་ མྱེད་ 211
།_ ཀུན་ ནས་ ཉོན་ མོངས་ པ་ མྱི་ 97
།_ ཀུན་ དགའ་ བོ་ དེ་ བཞིན་ གཤེགས་ 80
།_ ཀུན་ དགའ་ བོ་ བྱང་ ཆུབ་ སེམས་ 64
།_ ཀུན་ སྣང་ དང་ བ་ དང་ །_ 49
།_ དགེ་ བ་ དང་ །_ མི་ དགེ་ 63
།_ དགེ་ བ་ དང་ །_ ཆུང་ དགེ་ 46
།_ དགེ་ བ་ བཅུའི་ ལས་ ཀྱི་ ལམ་ 147
།_ དགེ་ བའི་ བཤེས་ གཉེན་ གྱིས་ ཡོངས་ 66
།_ དགེ་ བའི་ རྩ་ བ་ ཐམས་ ཅད་ 963
།_ དགེ་ བའི་ རྩ་ བ་ གང་ ཇི་ 62
།_ དགེ་ བའི་ རྩ་ བ་ དེ་ ཡང་ 84
།_ དགེ་ བའི་ རྩ་ བ་ དེ་ དག་ 232
།_ དགེ་ བའི་ རྩ་ བ་ ཡོངས་ སུ་ 44
།_ དགེ་ བའི་ རྩ་ བ་ མང་ པོས་ 57
།_ དགེ་ རྒྱས་ དང་ །_ ཆེ་ བ་ 43
།_ དགེ་ སློང་ དང་ །_ དགེ་ སློང་ 95
།_ དགེ་ སློང་ གི་ དགེ་ འདུན་ ལ་ 100
།_ དགེ་ སློང་ གི་ དགེ་ འདུན་ ཆེན་ 42
།_ དགེ་ སློང་ གི་ དགེ་ འདུན་ གྱི་ 75
།_ དགེ་ སློང་ གི་ དགེ་ འདུན་ གྱིས་ 64
།_ དགེ་ སློང་ གང་ དག་ མ་ ལྷགས་ 296
།_ དགེ་ སློང་ གང་ ཞེ་ ན །_ 47
།_ དགེ་ སློང་ རྣམས་ ལ་ བཀའ་ སྩལ་ 55
།_ དགེ་ སློང་ རྣམས་ ཀྱིས་ བཅོམ་ ལྡན་ 50
།_ དགེ་ སློང་ རྣམས་ ཀྱིས་ སྨྲས་ པ 53
།_ དགེ་ སློང་ དག་ ང་ ཡང་ དག་ 54
།_ དགེ་ སློང་ དག་ ཁྱེད་ ཀྱིས་ དེ་ 57
།_ དགེ་ སློང་ དག་ དེ་ བཞིན་ གཤེགས་ 45
།_ དགེ་ སློང་ དག་ དེ་ ལྟ་ བས་ 244
།_ དགེ་ སློང་ དག་ ཇི་ སྙམ་ དུ་ 62
།_ དགེ་ སློང་ དག་ གིས་ བཅོམ་ ལྡན་ 68
།_ དགེ་ སློང་ དག་ ལས་ བྱས་ ཤིང་ 116
།_ དགེ་ སློང་ དག་ སྔོན་ བྱུང་ བ་ 84
།_ དགེ་ སློང་ དེ་ དག་ དང་ །_ 87
།_ དགེ་ སློང་ དེ་ དག་ ཡི་ རངས་ 99
།_ དགེ་ སློང་ དེ་ འགྱོད་ པ་ སྐྱེས་ 43
།_ དགེ་ སློང་ མ་ དང་ །_ དགེ་ 264
།_ དགེ་ སློང་ མ་ སུན་ ཕྱུང་ བ་ 100
།_ དགེ་ སློང་ དེས་ ཀྱང་ མཐའ་ འཁོབ་ 45
།_ དགེ་ སློང་ དེས་ ཀྱང་ འཕགས་ པའི་ 40
།_ དགེ་ སློང་ ངམ །_ དགེ་ སློང་ 85
།_ དགེ་ སློང་ མས་ ཇི་ ཙམ་ ཅུང་ 138
།_ དགེ་ སློང་ མའམ །_ དགེ་ བསྙེན་ 193
།_ དགེ་ སློང་ མིང་ འདི་ ཞེས་ བགྱི་ 45
།_ དགེ་ སློང་ སྔ་ མ་ དག་ ལ་ 179
།_ དགེ་ སློང་ སྟོང་ ཉིས་ བརྒྱ་ ལྔ་ 46
།_ དགེ་ ཚུལ་ དང་ །_ དགེ་ ཚུལ་ 86
།_ དགེ་ ཚུལ་ མ་ དང་ །_ དགེ་ 131
།_ དགེ་ ཚུལ་ ཉེ་ བར་ གཞག་ པར་ 47
།_ དགེ་ ཚུལ་ ཕ་ དང་ །_ དགེ་ 41
།_ དགེ་ འདུན་ གྱི་ ལྷག་ མའོ །_། 42
།_ དགེ་ འདུན་ གྱིས་ སོ་ སོར་ ཐར་ 80
།_ དགེ་ འདུན་ བཙུན་ པ་ རྣམས་ གསན་ 114
།_ དགེ་ འདུན་ རྗེས་ སུ་ དྲན་ པ་ 43
།_ དགེ་ སྦྱོང་ དང་ །_ བྲམ་ ཟེ་ 151
།_ དགེ་ སྦྱོང་ དང་ བྲམ་ ཟེར་ བཅས་ 71
།_ དགེ་ བསྙེན་ དང་ །_ དགེ་ བསྙེན་ 239
།_ དགེ་ བསྙེན་ མ་ གང་ ལ་ ལ་ 71
།_ དགེ་ བསྙེན་ ནམ །_ དགེ་ བསྙེན་ 230
།_ དགེ་ སློབ་ མ་ དང་ །_ དགེ་ 109
།_ ཚོང་ དཔོན་ གྱི་ བུ་ ནོར་ བཟངས་ 65
།_ ཚོང་ དཔོན་ རྣམས་ དང་ །_ དེད་ 100
།_ ཚུལ་ དང་ མཐུན་ པ་ མ་ ཡིན་ 110
།_ ཚུལ་ ཁྲིམས་ དང་ །_ བཟོད་ པ་ 126
།_ ཚུལ་ ཁྲིམས་ དང་ ལྡན་ པ་ དང་ 41
།_ ཚུལ་ ཁྲིམས་ ཀྱི་ ཕ་ རོལ་ དུ་ 242
།_ ཚུལ་ ཁྲིམས་ ཀྱི་ ཕ་ རོལ་ ཏུ་ 1037
།_ ཚུལ་ དེ་ དག་ དང་ །_ མཚན་ 46
།_ ཚུལ་ བཞིན་ དུ་ ཡིད་ ལ་ བྱེད་ 273
།_ ཚུལ་ བཞིན་ དུ་ ཡིད་ ལ་ བྱ་ 52
།_ ཚུལ་ བཞིན་ དུ་ ཡིད་ ལ་ གྱིས་ 49
།_ ཚུལ་ བཞིན་ དུ་ ཡིད་ ལ་ བགྱིད་ 103
།_ ཚུལ་ བཞིན་ དུ་ ཡིད་ ལ་ མྱི་ 50
།_ སྨན་ ཟོང་ རྣམས་ བརྙེས་ པ །_ 89
།_ རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ 9047
།_ རྣམ་ པ་ ཐམས་ ཅད་ ཀྱི་ མཆོག་ 44
།_ རྣམ་ པར་ ཐར་ པའི་ སྒོ་ གསུམ་ 125
།_ རྣམ་ པར་ ཐར་ པའི་ སྒོ་ སྟོང་ 670
།_ རྣམ་ པར་ ཐར་ པ་ དང་ །_ 295
།_ རྣམ་ པར་ ཐར་ པ་ རྣམས་ དང་ 56
།_ རྣམ་ པར་ ཐར་ པ་ བརྒྱད་ དང་ 330
།_ རྣམ་ པར་ ཐར་ པ་ བརྒྱད་ ལ་ 101
།_ རྣམ་ པར་ ཐར་ པ་ བརྒྱད་ རྣམ་ 56
།_ རྣམ་ པར་ ཐར་ པ་ བརྒྱད་ ཡོངས་ 55
།_ རྣམ་ པར་ འཇིག་ པའི་ ཆོས་ ཅན་ 42
།_ རྣམ་ པར་ དག་ པ་ ཀུན་ ནས་ 106
།_ རྣམ་ པར་ དག་ པ་ ཟབ་ བོ 103
།_ རྣམ་ པར་ དག་ པ་ སྣང་ བའོ 128
།_ རྣམ་ པར་ གྲོལ་ བ་ དང་ །_ 123
།_ རྣམ་ པར་ གྲོལ་ བའི་ ཕུང་ པོ་ 83
།_ རྣམ་ པར་ གྲོལ་ བའི་ ཡེ་ ཤེས་ 271
།_ རྣམ་ པར་ ཤེས་ པའི་ རང་ བཞིན་ 40
།_ རྣམ་ པར་ ཤེས་ པའི་ དེ་ བཞིན་ 127
།_ རྣམ་ པར་ ཤེས་ པའི་ རྐྱེན་ གྱིས་ 42
།_ རྣམ་ པར་ ཤེས་ པའི་ ཕུང་ པོ་ 40
།_ རྣམ་ པར་ ཤེས་ པའི་ ཁམས་ ལ་ 42
།_ རྣམ་ པར་ ཤེས་ པའི་ ཁམས་ ཀྱི་ 82
།_ རྣམ་ པར་ ཤེས་ པའི་ ཁམས་ རྣམ་ 52
།_ རྣམ་ པར་ ཤེས་ པའི་ ཁམས་ ཡོངས་ 57
།_ རྣམ་ པར་ ཤེས་ པ་ དང་ །_ 130
།_ རྣམ་ པར་ ཤེས་ པ་ ལ་ གནས་ 41
།_ རྣམ་ པར་ ཤེས་ པ་ ལ་ མི་ 45
།_ རྣམ་ པར་ ཤེས་ པ་ སྡུག་ བསྔལ་ 42
།_ རྣམ་ པར་ ཤེས་ པ་ མཐའ་ ཡས་ 46
།_ རྣམ་ པར་ ཤེས་ པ་ གང་ ཡིན་ 40
།_ རྣམ་ པར་ ཤེས་ པ་ ནི་ རྣམ་ 40
།_ རྣམ་ པར་ ཤེས་ པ་ རྣམ་ པར་ 328
།_ རྣམ་ པར་ ཤེས་ པ་ ཉིད་ ཀྱང་ 44
།_ རྣམ་ པར་ ཤེས་ པ་ ཞེས་ བྱ་ 45
།_ རྣམ་ པར་ ཤེས་ པ་ མི་ རྟག་ 54
།_ རྣམ་ པར་ ཤེས་ པ་ ཡོངས་ སུ་ 174
།_ རྣམ་ པར་ ཤེས་ པ་ མཚན་ མ་ 51
།_ རྣམ་ པར་ ཤེས་ པ་ སྟོང་ པ་ 58
།_ རྣམ་ པར་ ཤེས་ པ་ སྨོན་ པ་ 49
།_ རྣམ་ པར་ བྱང་ བ་ དང་ །_ 60
།_ རྣམ་ པར་ བྱང་ བ་ མེད་ པའི་ 45
།_ རྣམ་ པར་ བྱང་ བ་ མེད་ པ་ 168
།_ རྣམ་ པར་ བྱང་ བ་ མྱེད་ པའི་ 109
